pos#nationality#player#apps#goals
gk#england#paul robinson#37#0
df#france#pascal chimbonda#49#3
df#south korea#young - pyo lee#29#0
mf#ivory coast#didier zokora#43#0
df#france#younes kaboul#29#4
df#finland#teemu tainio#26#0
mf#england#jermaine jenas#45#6
fw#bulgaria#dimitar berbatov#52#23
fw#ireland#robbie keane#54#23
df#brazil#gilberto#7#1
gk#czech republic#radek cerny#20#0
mf#france#steed malbranque#55#7
mf#wales#gareth bale#12#3
mf#germany#kevin - prince boateng#21#0
mf#france#adel taarabt#10#0
df#england#michael dawson#40#2
mf#england#tom huddlestone#43#4
fw#england#darren bent#36#8
mf#england#jamie o'hara#25#2
mf#england#aaron lennon#47#3
df#england#ledley king#10#0
df#scotland#alan hutton#15#0
gk#england#tommy forecast#0#0
df#cameroon#benoã®t assou - ekotto#2#0
df#portugal#ricardo rocha#5#0
df#france#dorian dervite#1#0
df#england#jonathan woodgate#17#2
df#wales#chris gunter#4#0
