team 1#agg#team 2#1st leg#2nd leg
linfield#1 - 3#dinamo zagreb#0 - 2#1 - 1
valletta#0 - 3#artmedia petržalka#0 - 2#0 - 1
dinamo tbilisi#3 - 1#nsí runavík#3 - 0#0 - 1
fc santa coloma#2 - 7#kaunas#1 - 4#1 - 3
murata#0 - 9#ifk göteborg#0 - 5#0 - 4
llanelli#1 - 4#ventspils#1 - 0#0 - 4
anorthosis#3 - 0#pyunik yerevan#1 - 0#2 - 0
inter baku#1 - 1 ( a )#rabotnički#0 - 0#1 - 1
tampere united#3 - 2#budućnost#2 - 1#1 - 1
f91 dudelange#0 - 3#domžale#0 - 1#0 - 2
dinamo tirana#1 - 4#modriča#0 - 2#1 - 2
aktobe#1 - 4#sheriff tiraspol#1 - 0#0 - 4
drogheda united#3 - 1#levadia#2 - 1#1 - 0
bate borisov#3 - 0#valur#2 - 0#1 - 0
