rank#fastest time (s)#wind (m / s)#athlete#nation#date#location
1#10.88#+ 2.0#marlies göhr#east germany#1 july 1977#dresden
2#10.89#+ 1.8#katrin krabbe#east germany#20 july 1988#berlin
3#11.03#+ 1.7#silke gladisch - möller#east germany#8 june 1983#berlin
3#11.03#+ 0.6#english gardner#united states#14 may 2011#tucson
5#11.04#+ 1.4#angela williams#united states#5 june 1999#boise
6#11.07#+ 0.7#bianca knight#united states#27 june 2008#eugene
7#11.08#+ 2.0#brenda morehead#united states#21 june 1976#eugene
8#11.11#+ 0.2#shakedia jones#united states#2 may 1998#westwood
8#11.11#+ 1.1#joan uduak ekah#nigeria#2 july 1999#lausanne
10#11.12#+ 2.0#veronica campbell - brown#jamaica#18 october 2000#santiago
10#11.12#+ 1.2#alexandria anderson#united states#22 june 2006#indianapolis
