pov character#game#clash#storm#feast#dance
bran stark#7#7#4#-#3
catelyn stark#11#7#7#-#-
daenerys targaryen#10#5#6#-#10
eddard stark#15#-#-#-#-
jon snow#9#8#12#-#13
arya stark#5#10#13#3#2
tyrion lannister#9#15#11#-#12
sansa stark#6#8#7#3#-
davos seaworth#-#3#6#-#4
theon greyjoy#-#6#-#-#7
jaime lannister#-#-#9#7#1
samwell tarly#-#-#5#5#-
cersei lannister#-#-#-#10#2
brienne of tarth#-#-#-#8#-
aeron greyjoy#-#-#-#2#-
areo hotah#-#-#-#1#1
asha greyjoy#-#-#-#1#3
arys oakheart#-#-#-#1#-
victarion greyjoy#-#-#-#2#2
arianne martell#-#-#-#2#-
quentyn martell#-#-#-#-#4
jon connington#-#-#-#-#2
melisandre#-#-#-#-#1
barristan selmy#-#-#-#-#4
prologue / epilogue#1 / -#1 / -#1 / 1#1 / -#1 / 1
sum chapters (pov)#73 (9)#70 (10)#82 (12)#46 (13)#73 (18)
