release date#peak chart position#first week sales#copies sold#album
august 21 , 1992#69#2940#21710#everything
december 1 , 1992#56#3490#60790#kind of love
july 1 , 1993#19#24880#88330#versus
november 10 , 1993#6#65950#1255940#atomic heart
june 1 , 1994#1#206030#1935830#atomic heart
november 10 , 1994#1#669540#2766290#bolero
december 12 , 1994#1#369670#1240040#bolero
may 10 , 1995#1#520670#1571890#bolero
august 10 , 1995#1#561750#1811790#bolero
february 5 , 1996#1#1208230#2308790#shinkai
april 10 , 1996#1#639330#1538600#shinkai
august 8 , 1996#1#301560#733070#shinkai
february 5 , 1997#1#602140#1217090#bolero
february 11 , 1998#1#361370#663730#discovery
october 21 , 1998#1#515780#1070350#discovery
january 13 , 1999#1#327650#455770#discovery
may 12 , 1999#1#194770#301000#discovery
january 13 , 2000#1#327590#724070#q
august 9 , 2000#1#356520#607300#q
august 21 , 2001#1#250610#477810#it 's a wonderful world
november 7 , 2001#1#352730#699270#it 's a wonderful world
january 1 , 2002#1#305500#513280#it 's a wonderful world
july 10 , 2002#1#257670#509262#shifuku no oto
december 11 , 2002#1#315358#552848#shifuku no oto
november 19 , 2003#1#286982#651696#shifuku no oto
may 26 , 2004#1#370451#773990#i love u
june 29 , 2005#1#569116#925632#i love u
july 5 , 2006#1#254024#419805#home
november 15 , 2006#1#350059#740080#home
january 24 , 2007#1#280877#320628#home
october 31 , 2007#1#238380#395343#supermarket fantasy
july 30 , 2008#1#194144#340132#supermarket fantasy
september 3 , 2008#1#260196#485803#supermarket fantasy
april 18 , 2012#1#174409#275296#［ (an imitation) blood orange］
