position#played#points#wins#draws#losses#goals for#goals against#goal difference
1#30#39#16#7#7#66#29#+ 37
2#30#36#15#6#9#48#40#+ 8
3#30#33#11#11#8#55#44#+ 11
4#30#33#13#7#10#58#44#+ 14
5#30#33#13#7#10#61#32#+ 29
6#30#33#12#9#9#49#41#+ 8
7#30#32#14#4#12#41#52#- 11
8#30#32#13#6#11#55#45#+ 10
9#30#30#10#10#10#51#50#+ 1
10#30#29#12#5#13#49#60#- 11
11#30#29#13#3#14#56#64#- 8
12#30#28#12#4#14#51#57#- 6
13#30#28#9#10#11#51#71#- 20
14#30#24#9#6#15#40#56#- 16
15#30#21#7#7#16#49#64#- 15
16#30#20#5#10#15#32#63#- 31
