club#played#drawn#lost#points for#points against#points
club#played#drawn#lost#points for#points against#points
mumbles rfc#24#0#2#875#230#66
heol y cyw rfc#24#1#7#598#424#49
tondu rfc#24#0#8#549#387#48
aberavon quins rfc#24#0#10#547#345#42
nantyffyllon rfc#24#0#11#503#410#39
vardre rfc#24#0#12#510#489#36
kenfig hill rfc#24#0#12#546#527#36
amman united rfc#24#0#12#369#512#36
skewen rfc#24#1#12#403#487#34
banwen rfc#24#0#16#346#471#24
cwmgors rfc#24#0#17#336#723#21
bryncoch rfc#24#0#17#355#693#21
brynamman rfc#24#0#19#371#610#15
