athlete#shooting score (pts)#fencing victories (pts)#swimming time (pts)#riding penalties (pts)#running time (pts)#total
zsuzsanna vörös ( hun )#182 (1120)#19 (916)#2:15.59 (1296)#76 (1124)#11:22.00 (992)#5448
jeļena rubļevska ( lat )#171 (988)#23 (1028)#2:26.96 (1160)#84 (1116)#10:58.00 (1088)#5380
georgina harland ( gbr )#156 (808)#16 (832)#2:14.60 (1308)#56 (1144)#10:17.31 (1252)#5344
claudia corsini ( ita )#169 (964)#21 (972)#2:20.56 (1236)#84 (1116)#11:11.65 (1036)#5324
kim raisner ( ger )#178 (1072)#16 (832)#2:18.16 (1264)#84 (1116)#11:13.21 (1028)#5312
sylwia czwojdzińska ( pol )#179 (1084)#17 (860)#2:21.44 (1224)#84 (1116)#11:22.00 (992)#5276
victoria tereshchuk ( ukr )#178 (1072)#11 (692)#2:19.98 (1244)#84 (1116)#10:44.68 (1144)#5256
kate allenby ( gbr )#169 (964)#21 (972)#2:17.41 (1272)#196 (1004)#11:14.00 (1024)#5236
tatsiana mazurkevich ( blr )#184 (1144)#13 (748)#2:27.64 (1152)#80 (1120)#11:06.21 (1056)#5220
paulina boenisz ( pol )#180 (1096)#13 (748)#2:28.13 (1144)#100 (1100)#10:56.05 (1096)#5184
csilla füri ( hun )#157 (820)#15 (804)#2:15.42 (1296)#28 (1172)#11:07.15 (1052)#5144
amélie caze ( fra )#170 (976)#17 (860)#2:14.44 (1308)#124 (1076)#11:39.41 (924)#5144
monica pinette ( can )#178 (1072)#20 (944)#2:32.62 (1092)#168 (1032)#11:30.55 (960)#5100
lada jienbalanova ( kaz )#158 (832)#17 (860)#2:18.49 (1260)#56 (1144)#11:25.45 (980)#5076
mary beth iagorashvili ( usa )#152 (760)#16 (832)#2:19.30 (1252)#56 (1144)#11:04.37 (1064)#5052
katalin - beat partics ( gre )#176 (1048)#17 (860)#2:23.32 (1204)#168 (1032)#11:49.11 (884)#5028
olesya velichko ( rus )#176 (1048)#14 (776)#2:34.96 (1064)#140 (1060)#11:03.75 (1068)#5016
anita allen ( usa )#168 (952)#12 (720)#2:31.16 (1108)#28 (1172)#11:09.00 (1044)#4996
blandine lachèze ( fra )#179 (1084)#13 (748)#2:26.31 (1168)#84 (1116)#11:52.47 (872)#4988
eszter hortobagyi ( aus )#169 (964)#11 (692)#2:29.42 (1128)#56 (1144)#11:11.44 (1036)#4964
halina bashlakova ( blr )#156 (808)#14 (776)#2:26.02 (1168)#28 (1172)#11:15.25 (1020)#4944
kara grant ( can )#169 (964)#16 (832)#2:43.37 (960)#104 (1096)#11:01.57 (1076)#4928
liudmila sirotkina ( kgz )#168 (952)#14 (776)#2:26.92 (1160)#56 (1144)#11:46.95 (896)#4928
dong lean ( chn )#189 (1204)#13 (748)#2:21.67 (1220)#300 (900)#11:58.05 (848)#4920
samantha harvey ( bra )#178 (1072)#17 (860)#2:27.35 (1152)#224 (976)#12:03.10 (828)#4888
alexandra kalinovská ( cze )#164 (904)#18 (888)#2:30.05 (1120)#252 (948)#11:14.40 (1024)#4884
tatiana mouratova ( rus )#174 (1024)#15 (804)#2:20.22 (1240)#380 (820)#11:22.30 (992)#4880
aya medany ( egy )#181 (1108)#12 (720)#2:21.37 (1224)#224 (976)#12:04.06 (824)#4852
liang caixia ( chn )#158 (832)#12 (720)#2:20.93 (1232)#240 (960)#11:43.01 (908)#4652
lyudmila shumilova ( kaz )#170 (976)#7 (568)#2:27.22 (1156)#168 (1032)#11:43.41 (908)#4640
maría isabel sanz - agero ( gua )#161 (868)#10 (664)#2:30.29 (1120)#172 (1028)#12:23.90 (748)#4428
federica foghetti ( ita )#167 (940)#15 (804)#2:25.81 (1172)#892 (308)#11:19.11 (1004)#4228
