series#season#title#directed by#written by#original air date
173#1#seer of love#tony singletary#michele j wolff#september 28 , 1991
174#2#an affair to forget#tony singletary#gene braunstein#october 5 , 1991
175#3#misery#tony singletary#clay graham#october 12 , 1991
176#4#selling sam short#tony singletary#linda va salle & mike teverbaugh#october 19 , 1991
177#5#tony bags a big one#tony singletary#michele j wolff#october 26 , 1991
178#6#a well - kept housekeeper#tony singletary#danny kallis , phil doran & bob rosenfarb#november 2 , 1991
179#7#death and love (part 1)#tony singletary#bob rosenfarb , danny kallis & phil doran#november 9 , 1991
180#8#death and love (part 2)#tony singletary#bob rosenfarb , danny kallis & phil doran#november 16 , 1991
181#9#grandmommie dearest#tony singletary#gene braunstein#november 23 , 1991
184#12#tony , can you spare a dime#tony singletary#gene braunstein & michele j wolff#january 4 , 1992
185#13#mrs al#tony singletary#linda va salle & mike teverbaugh#january 11 , 1992
186#14#who 's the boss#tony singletary#linda va salle & mike teverbaugh#january 25 , 1992
187#15#tony micelli , this is your other life#tony singletary#michele j wolff#february 1 , 1992
188#16#allergic to love#tony singletary#adam i lapidus#february 8 , 1992
191#19#tony and the honeymooners#tony singletary#gene braunstein#february 29 , 1992
