round#pick#overall#name#position#college
1#2#2#george kunz#offensive tackle#notre dame
2#3#29#paul gipson#running back#houston
3#2#54#malcolm snider#offensive tackle#stanford
3#15#67#jon sandstrom#guard#oregon state
4#3#81#james mitchell#tight end#prairie view a&m
4#25#103#dicky lyons#defensive back#kentucky
5#23#127#tony pleviak#defensive end#illinois
6#7#137#wally oyler#defensive back#louisville
7#2#158#dick enderle#guard#minnesota
7#8#164#ted cottrell#linebacker#delaware valley
8#3#185#jim callahan#wide receiver#temple
10#3#237#jeff stanciel#running back#mississippi valley state
11#2#262#jeff van note#center#kentucky
12#3#289#denver samples#defensive tackle#utep
13#2#313#harry carpenter#offensive tackle#tennessee state
14#3#341#billy hunt#defensive back#kansas
15#2#366#jim weatherford#defensive back#tennessee
16#3#393#ed hughes#running back#texas southern
17#2#418#paul williams#running back#california
