year#winners#grand finalist#scores#venue#crowd#margin#season result
1956#south melbourne#carlton#13.16 (94) - 13.10 (88)#lake oval#32450#6#9th
1957#south melbourne#geelong#15.13 (103) - 8.4 (52)#lake oval#25000#51#10th
1958#st kilda#carlton#16.13 (109) - 15.11 (101)#lake oval#26400#8#8th
1959#fitzroy#hawthorn#10.10 (70) - 4.16 (40)#lake oval#9200#30#5th
1960#south melbourne#hawthorn#10.12 (72) - 8.11 (59)#lake oval#20000#13#8th
1961#geelong#north melbourne#9.20 (74) - 9.8 (62)#lake oval#30465#12#6th
1962#richmond#hawthorn#8.16 (64) - 9.6 (60)#lake oval#24550#4#8th
1963#footscray#richmond#10.9 (69) - 9.9 (63)#lake oval#25270#6#9th
1964#footscray#st kilda#11.12 (78) - 11.7 (73)#lake oval#36300#5#10th
1965#north melbourne#carlton#14.13 (97) - 9.3 (57)#lake oval#37750#40#9th
1966#north melbourne#hawthorn#20.12 (132) - 12.7 (79)#lake oval#22800#53#7th
1967#footscray#south melbourne#15.11 (101) - 8.8 (64)#lake oval#26731#45#12th
1968#hawthorn#north melbourne#16.15 (111) - 6.14 (50)#lake oval#15650#61#6th
1969#hawthorn#melbourne#10.17 (77) - 9.18 (72)#lake oval#21067#5#5th
1970#footscray#melbourne#13.17 (95) - 13.15 (93)#lake oval#23882#2#7th
