rank#ws points#name#country#08 - 09 i / o best#08 - 09 gp / jgp best#08 - 09 gp / jgp 2nd#08 - 09 oi best#08 - 09 oi 2nd#07 - 08 i / o best#07 - 08 gp / jgp best#07 - 08 gp / jgp 2nd#07 - 08 oi best#07 - 08 oi 2nd
1#3748#oksana domnina / maxim shabalin#russia#1200#720#400#0#0#588#560#280#0#0
2#3197#tanith belbin / benjamin agosto#united states#1080#360#360#0#0#613#504#280#0#0
3#2949#isabelle delobel / olivier schoenfelder#france#0#800#400#0#0#840#454#280#175#0
4#2883#meryl davis / charlie white#united states#875#648#400#0#0#529#227#204#0#0
5#2864#jana khokhlova / sergei novitski#russia#840#400#324#0#0#680#368#252#0#0
6#2744#federica faiella / massimo scali#italy#756#583#400#0#0#551#227#227#0#0
7#2600#emily samuelson / evan bates#united states#680#324#292#250#0#501#378#175#0#0
8#2500#nathalie pãchalat / fabian bourzat#france#787#360#324#0#0#447#330#252#0#0
9#2416#tessa virtue / scott moir#canada#972#0#0#0#0#756#408#280#0#0
10#2367#sinead kerr / john kerr#united kingdom#680#324#324#250#0#402#204#183#0#0
11#2196#vanessa crone / paul poirier#canada#612#360#292#0#0#451#306#175#0#0
12#2016#madison chock / greg zuerlein#united states#715#600#250#0#0#0#276#175#0#0
13#1969#ekaterina riazanova / jonathan guerreiro#russia#579#486#250#0#0#295#201#158#0#0
14#1917#anna cappellini / luca lanotte#italy#551#292#292#0#0#326#252#204#0#0
15#1902#kristina gorshkova / vitali butikov#russia#0#292#262#225#203#405#340#175#0#0
16#1800#kimberly navarro / brent bommentre#united states#496#262#236#0#0#476#165#165#0#0
17#1754#alexandra zaretski / roman zaretski#israel#339#262#213#225#0#362#204#149#0#0
18#1704#pernelle carron / matthieu jost#france#517#262#262#0#0#253#227#183#0#0
19#1700#kaitlyn weaver / andrew poje#canada#551#236#213#0#0#386#165#149#0#0
20#1639#madison hubbell / keiffer hubbell#united states#521#540#250#0#0#328#0#0#0#0
21#1507#kharis ralph / asher hill#canada#469#354#225#0#0#239#127#93#0#0
22#1496#anna zadorozhniuk / sergei verbillo#ukraine#446#262#191#0#0#205#227#165#0#0
23#1443#alisa agafonova / dmitri dun#ukraine#202#319#250#0#0#266#248#158#0#0
24#1331#maia shibutani / alex shibutani#united states#644#437#250#0#0#0#0#0#0#0
