date#race#track#location#distance#surface#purse#finish
february 14 , 2008#maiden special weight#gulfstream park#hallandale beach , florida#7 fur#dirt#40000#1st
march 30 , 2008#allowance#gulfstream park#hallandale beach , florida#1 mi#dirt#42500#1st
april 26 , 2008#withers stakes#aqueduct racetrack#new york city , new york#1 mi#dirt#142500#1st
june 1 , 2008#plate trial stakes#woodbine racetrack#toronto , ontario#1⅛ mi#polytrack#151781#4th
july 13 , 2008#prince of wales stakes#fort erie racetrack#fort erie , ontario#1 1 / 16 mi#dirt#495400#1st
august 23 , 2008#travers stakes#saratoga race course#saratoga springs , new york#1¼ mi#dirt#1000000#4th
october 5 , 2008#jerome handicap#belmont park#elmont , new york#1 mi#dirt#150000#3rd
november 29 , 2008#cigar mile handicap#aqueduct racetrack#new york city , new york#1 mi#dirt#300000#2nd
november 14 , 2009#allowance optional claiming#churchill downs#louisville , kentucky#7 fur#dirt#56000#2nd
january 3 , 2010#hal 's hope handicap#gulfstream park#hallandale beach , florida#1 mi#dirt#100000#4th
