position#team#played#drawn#lost#goals for#goals against#goal difference#points 1
1#bangor city#42#8#7#108#60#+ 48#62
2#mossley#42#11#7#76#43#+ 33#59
3#witton albion#42#10#10#75#44#+ 31#54
4#gateshead#42#14#9#65#49#+ 15#52
5#king 's lynn#42#12#11#61#36#+ 25#50
6#grantham#42#13#11#65#53#+ 12#49
7#burton albion#42#9#14#71#62#+ 9#47
8#southport#42#14#12#63#55#+ 8#46
9#marine#42#12#13#64#57#+ 7#46
10#macclesfield town#42#9#16#67#58#+ 9#43
11#workington#42#7#17#62#60#+ 2#43
12#worksop town#42#13#14#52#60#8#43
13#south liverpool#42#13#16#55#57#2#39
14#goole town#42#13#16#56#60#4#39
15#oswestry town#42#11#17#55#59#4#39
16#buxton#42#11#17#48#56#8#39
17#lancaster city#42#12#17#47#50#3#38
18#gainsborough trinity#42#13#19#60#69#9#33
19#tamworth#42#9#23#31#56#25#29
20#morecambe#42#11#22#43#86#43#29
21#matlock town#42#12#23#38#72#34#26
22#netherfield#42#9#28#31#91#60#19
