date#visitor#score#home#leading scorer#record
1 november 2002#cavaliers#74 - 78#suns#ricky davis (21)#1 - 2
5 november 2002#lakers#70 - 89#cavaliers#ricky davis (24)#2 - 2
6 november 2002#cavaliers#100 - 107#wizards#ricky davis (27)#2 - 3
8 november 2002#cavaliers#84 - 108#sixers#ricky davis (31)#2 - 4
9 november 2002#wizards#93 - 79#cavaliers#two - way tie (19)#2 - 5
12 november 2002#cavaliers#75 - 95#pacers#darius miles (19)#2 - 6
13 november 2002#mavericks#103 - 99#cavaliers#zydrunas ilgauskas (34)#2 - 7
16 november 2002#spurs#90 - 77#cavaliers#ricky davis (22)#2 - 8
18 november 2002#cavaliers#78 - 104#spurs#zydrunas ilgauskas (25)#2 - 9
19 november 2002#cavaliers#80 - 97#rockets#zydrunas ilgauskas (24)#2 - 10
22 november 2002#cavaliers#79 - 120#nets#smush parker (18)#2 - 11
23 november 2002#hornets#97 - 84#cavaliers#ricky davis (24)#2 - 12
26 november 2002#kings#91 - 85#cavaliers#ricky davis (22)#2 - 13
27 november 2002#cavaliers#80 - 112#bucks#ricky davis (23)#2 - 14
29 november 2002#sixers#106 - 99#cavaliers#dajuan wagner (29)#2 - 15
30 november 2002#cavaliers#79 - 85#heat#dajuan wagner (28)#2 - 16
