res#record#opponent#method#event#round#location
win#20 - 8#giovani diniz#tko (punches)#shooto - 5th round#1#tokyo , japan
win#19 - 8#kotetsu boku#decision (unanimous)#shooto - shootor 's legacy 3#3#osaka , japan
win#18 - 8#takashi nakakura#decision (unanimous)#shooto - shooto tradition 2011#3#osaka , japan
win#17 - 8#kiyonobu nishikata#submission (rear - naked choke)#gcm - demolition west in yamaguchi 2#1#osaka , japan
loss#16 - 8#satoru kitaoka#submission (guillotine choke)#pancrase - passion tour 9#2#tokyo , japan
loss#16 - 7#katsunori kikuno#ko (punch)#dream13#1#yokohama , japan
win#16 - 6#won sik park#tko (corner stoppage)#dream 12#1#osaka , japan
win#15 - 6#yoshihiro koyama#tko (punches)#cage force#1#tokyo , japan
win#14 - 6#katsuhiko nagata#tko (punches)#cage force#1#tokyo , japan
win#13 - 6#naoyuki kotani#submission (reverse full - nelson)#zst#2#tokyo , japan
loss#12 - 6#hayato sakurai#decision (unanimous)#dream 6#2#saitama , saitama , japan
win#12 - 5#motoki miyazawa#tko (cut)#dream 5#1#osaka , japan
loss#11 - 5#jonathan goulet#tko (punches)#ufc 83#2#montreal , quebec , canada
loss#11 - 4#thiago alves#tko (strikes)#ufc fight night 11#2#nevada , united states
win#11 - 3#forrest petz#decision (unanimous)#ufc fight night 9#3#nevada , united states
loss#10 - 3#jon fitch#decision (unanimous)#ufc 64#3#nevada , united states
win#10 - 2#renato verissimo#tko (strikes)#rotr 9 - rumble on the rock 9#2#hawaii , united states
win#9 - 2#ryan schultz#submission (armbar)#mars - mars#2#tokyo , japan
win#8 - 2#takuya wada#submission (triangle choke)#gcm - dog 4#1#tokyo , japan
loss#7 - 2#shinya aoki#tko (cut)#shooto 2005 - 11 / 6 in korakuen hall#1#tokyo , japan
win#7 - 1#ramunas komas#decision#shooto lithuania - bushido#n / a#lithuania
win#6 - 1#mark moreno#submission (neck crank)#sb 29 - superbrawl 29#1#hawaii , united states
win#5 - 1#nick diaz#decision (split)#shooto - 2002 year - end show#3#tokyo , japan
win#4 - 1#yasuyuki tokuoka#decision (unanimous)#shooto - treasure hunt 11#2#tokyo , japan
win#3 - 1#yuji kusu#tko (swollen eye)#shooto - gig east 10#2#tokyo , japan
loss#2 - 1#hirofumi hara#tko (punches)#shooto - gig east 9#1#tokyo , japan
win#2 - 0#toru nakayama#submission (triangle choke)#shooto - treasure hunt 4#1#tokyo , japan
win#1 - 0#takayuki okochi#decision (unanimous)#shooto - gig east 6#2#tokyo , japan
