name (pinyin)#name (wade giles)#characters#type#construction
fuxing#fu - hsing#福星#wooden gunboat#1870 , foochow navy yard
zhenwei#chen - wei#振威#wooden gunboat#1872 , foochow navy yard
fupo#fu - p'o#伏波#scout - transport#1870 , foochow navy yard
feiyun#fei - yun#飛雲#scout - transport#1872 , foochow navy yard
yangwu#yang - wu#揚武#wooden corvette#1872 , foochow navy yard
ji'an#chi - an#濟安#scout - transport#1873 , foochow navy yard
yongbao#yung - pao#永保#scout - transport#1873 , foochow navy yard
chenhang#ch'en - hang#琛航#scout - transport#1874 , foochow navy yard
jiansheng#chien - sheng#建勝#rendel flatiron gunboat#1875 , laird , birkenhead
fusheng#fu - sheng#福勝#rendel flatiron gunboat#1875 , laird , birkenhead
yixin#i - hsin#藝新#river patrol boat#1876 , foochow navy yard
henghai#heng - hai#橫海#composite sloop#1885 , foochow navy yard
fujing#fu - ching#福靖#steel torpedo boat#1893 , foochow navy yard
