game#date#team#score#record#streak
4#november 1#detroit pistons#97 - 93#4 - 0#win 4
5#november 4#philadelphia 76ers#114 - 121#4 - 1#loss 1
6#november 5#boston celtics#95 - 105#4 - 2#loss 2
7#november 8#phoenix suns#110 - 105#5 - 2#win 1
8#november 11#washington bullets#90 - 105#5 - 3#loss 1
9#november 12#houston rockets#93 - 80#6 - 3#win 1
10#november 14#milwaukee bucks#112 - 98#7 - 3#win 2
11#november 15#boston celtics#110 - 112#7 - 4#loss 1
12#november 18#los angeles lakers#120 - 106#8 - 4#win 1
13#november 20#cleveland cavaliers#118 - 115 (ot)#9 - 4#win 2
14#november 21#detroit pistons#94 - 104#9 - 5#loss 1
15#november 22#portland trail blazers#104 - 109#9 - 6#loss 2
16#november 26#phoenix suns#106 - 107#9 - 7#loss 3
17#november 28#los angeles lakers#105 - 126#9 - 8#loss 4
18#november 29#portland trail blazers#115 - 130#9 - 9#loss 5
