series#title#directed by#written by#original air date#production code
1#anything you want#sam weisman#brenda hampton#august 26 , 1996#3.88
2#family secrets#mark sobel#brenda hampton#september 23 , 1996#4.09
3#in the blink of an eye#duwayne dunham#catherine lepard#september 30 , 1996#3.90
4#no funerals and a wedding#mark jean#molly newman#october 7 , 1996#3.99
5#the color of god#burt brinckerhoff#brenda hampton#october 14 , 1996#3.95
6#halloween#nick havinga#molly newman#october 28 , 1996#3.92
7#saturday#david semel#jack logiudice#november 4 , 1996#3.83
8#what will people say#duwayne dunham#brenda hampton#november 11 , 1996#3.46
9#see no evil , hear no evil , speak no evil#harry harris#catherine lepard#november 18 , 1996#3.06
10#the last call for aunt julie#joel j feigenbaum#ron zimmerman#november 25 , 1996#3.67
11#now you see me#harvey s laidman#charles lazer#december 16 , 1996#2.96
12#with a little help from my friends#burt brinckerhoff#brenda hampton & jack logiudice#january 13 , 1997#2.87
13#america 's most wanted#mark jean#brenda hampton#january 27 , 1997#3.43
14#seven is enough#harry harris#catherine lepard & ron zimmerman#february 3 , 1997#2.65
15#happy 's valentine#david semel#brenda hampton#february 10 , 1997#3.78
16#brave new world#harvey s laidman#catherine lepard#february 17 , 1997#2.88
17#choices#kevin inch#sue tenney#april 14 , 1997#3.67
18#faith , hope and the bottom line#burt brinckerhoff#catherine lepard#april 21 , 1997#3.89
19#it 's about george#harry harris#ron zimmerman#april 28 , 1997#2.72
