outcome#year#championship#surface#partner#opponents#score
winner#24 may 2004#french open , paris , france#clay#olivier rochus#michaël llodra fabrice santoro#7 - 5 , 7 - 5
winner#3 january 2005#atp adelaide , adelaide , australia#hard#olivier rochus#simon aspelin todd perry#7 - 6 , 6 - 4
winner#1 january 2007#atp chennai , chennai , india#hard#dick norman#rafael nadal bartolomé salvá#7 - 6 , 7 - 6
winner#28 january 2007#atp delray beach , delray beach , united states#hard#hugo armando#james auckland stephen huss#6 - 3 , 6 - 7 ,
runner - up#15 january 2008#heineken open , auckland , new zealand#hard#jürgen melzer#luis horna juan mónaco#4 - 6 , 6 - 3 ,
runner - up#13 february 2011#sap open , san jose , united states#hard (i)#alejandro falla#scott lipsky rajeev ram#4 - 6 , 6 - 4 ,
winner#18 march 2011#bnp paribas open , indian wells , united states#hard#alexandr dolgopolov#roger federer stanislas wawrinka#6 - 4 , 6 - 7 (5 - 7) ,
winner#31 july 2011#farmers classic , los angeles , united states#hard#mark knowles#somdev devvarman treat conrad huey#7 - 6 (7 - 3) , 7 - 6 (12 - 10)
winner#19 february 2012#sap open , san jose , united states#hard (i)#mark knowles#kevin anderson frank moser#6 - 4 , 1 - 6 ,
runner - up#6 may 2012#bmw open , munich , germany#clay#dick norman#františek čermák filip polášek#4 - 6 , 5 - 7
runner - up#22 july 2012#bb&t atlanta open , atlanta , united states#hard#michael russell#matthew ebden ryan harrison#3 - 6 , 6 - 3 ,
winner#30 july 2012#farmers classic , los angeles , united states#hard#ruben bemelmans#jamie delgado ken skupski#7 - 6 (7 - 5) , 4 - 6 ,
winner#17 february 2013#sap open , san jose , united states#hard (i)#frank moser#lleyton hewitt marinko matosevic#6 - 0 , 6 - 7 (4 - 7) ,
