place#player#country#score#to par#money
1#ben hogan#united states#70 + 72 + 70 + 68 = 280#- 8#3000
2#skee riegel#united states#73 + 68 + 70 + 71 = 282#- 6#1875
t3#lloyd mangrum#united states#69 + 74 + 70 + 73 = 286#- 2#1162
t3#lew worsham#united states#71 + 71 + 72 + 72 = 286#- 2#1162
5#dave douglas#united states#74 + 69 + 72 + 73 = 288#e#750
6#lawson little#united states#72 + 73 + 72 + 72 = 289#+ 1#600
7#jim ferrier#australia#74 + 70 + 74 + 72 = 290#+ 2#525
t8#johnny bulla#united states#71 + 72 + 73 + 75 = 291#+ 3#450
t8#byron nelson#united states#71 + 73 + 73 + 74 = 291#+ 3#450
t8#sam snead#united states#69 + 74 + 68 + 80 = 291#+ 3#450
