rider#manufacturer#laps#time / retired#grid
dani pedrosa#honda#30#41:53.196#2
loris capirossi#ducati#30#+ 13.166#7
nicky hayden#honda#30#+ 16.771#14
colin edwards#yamaha#30#+ 18.299#13
casey stoner#ducati#30#+ 31.426#1
marco melandri#honda#30#+ 31.917#3
john hopkins#suzuki#30#+ 33.395#5
anthony west#kawasaki#30#+ 41.194#12
alex hofmann#ducati#30#+ 43.214#16
michel fabrizio#honda#30#+ 44.459#17
chris vermeulen#suzuki#30#+ 1:01.894#11
kurtis roberts#kr212v#30#+ 1:10.721#19
makoto tamada#yamaha#28#+ 2 laps#18
carlos checa#honda#27#+ 3 laps#15
randy de puniet#kawasaki#29#retirement#4
shinya nakano#honda#19#retirement#10
alex barros#ducati#9#accident#8
valentino rossi#yamaha#5#accident#6
sylvain guintoli#ducati#3#accident#9
