goal#date#venue#score#result#competition
1#19 october 1988#lansdowne road , dublin , ireland#3 - 0#4 - 0#friendly
2#15 november 1989#ta' qali national stadium , attard , malta#1 - 0#2 - 0#1990 world cup qual
3#15 november 1989#ta' qali national stadium , attard , malta#2 - 0#2 - 0#1990 world cup qual
4#17 october 1990#lansdowne road , dublin , ireland#1 - 0#5 - 0#euro 1992 qual
5#17 october 1990#lansdowne road , dublin , ireland#3 - 0#5 - 0#euro 1992 qual
6#17 october 1990#lansdowne road , dublin , ireland#5 - 0#5 - 0#euro 1992 qual
7#25 march 1992#lansdowne road , dublin , ireland#2 - 1#2 - 1#friendly
8#26 may 1992#lansdowne road , dublin , ireland#1 - 0#2 - 0#1994 world cup qual
9#9 september 1992#lansdowne road , dublin , ireland#2 - 0#4 - 0#1994 world cup qual
10#9 september 1992#lansdowne road , dublin , ireland#3 - 0#4 - 0#1994 world cup qual
11#9 september 1992#lansdowne road , dublin , ireland#4 - 0#4 - 0#1994 world cup qual
12#9 june 1993#daugava stadium , riga , latvia#1 - 0#2 - 0#1994 world cup qual
13#8 september 1993#lansdowne road , dublin , ireland#1 - 0#2 - 0#1994 world cup qual
14#24 june 1994#citrus bowl , orlando , united states#1 - 2#1 - 2#world cup 1994
15#7 september 1994#daugava stadium , riga , latvia#1 - 0#3 - 0#euro 1996 qual
16#7 september 1994#daugava stadium , riga , latvia#3 - 0#3 - 0#euro 1996 qual
17#16 november 1994#windsor park , belfast , northern ireland#1 - 0#4 - 0#euro 1996 qual
18#11 october 1995#lansdowne road , dublin , ireland#1 - 0#2 - 0#euro 1996 qual
19#11 october 1995#lansdowne road , dublin , ireland#2 - 0#2 - 0#euro 1996 qual
