player#height#position#year born#current club
mithat demirel#1.80#guard#1978#unattached
ademola okulaja#2.02#forward#1975#brose baskets
stephen arigbabu#2.05#center#1972#olympia larissa
robert garrett#1.92#guard#1977#brose baskets
johannes herber#1.97#guard#1983#alba berlin
steffen hamann#1.93#guard#1981#brose baskets
demond greene#1.85#guard#1979#brose baskets
pascal roller#1.85#guard#1976#deutsche bank skyliners
guido grã¼nheid#2.06#forward#1982#hanzevast capitals
patrick femerling#2.13#center#1975#alba berlin
dirk nowitzki#2.13#forward#1978#dallas mavericks
jan - hendrik jagla#2.13#center#1981#dkv joventut
