shooter#prone#stand#kneel#qual
sonja pfeilschifter ( ger )#199#195#196#590
olga dovgun ( kaz )#200#196#193#589
lioubov galkina ( rus )#199#193#194#586
yin wen ( chn )#197#195#194#586
jamie beyerle ( usa )#198#188#194#580
snježana pejčić ( cro )#197#193#190#580
eglis yaima cruz ( cub )#199#186#193#578
morgan hicks ( usa )#196#190#192#578
du li ( chn )#199#189#190#578
thanyalak chotphibunsin ( tha )#197#185#194#576
kristina vestveit ( nor )#195#189#191#575
adela sykorova ( cze )#195#187#188#570
