storm name#dates active#max 1 - min wind mph (km / h)#min press ( mbar )#damage (millions usd )#deaths
one#may 19 - may 25#65 (100)#<995#none#none
two#august 3 - august 10#100 (155)#972#10.75#7
three#august 5 - august 14#100 (155)#972#13#52
four#august 26 - september 2#110 (175)#961#4.05#7
five#september 7 - september 17#100 (155)#<988#1.49#3
six#september 18 - september 25#50 (85)#1002#0.039#2
seven#september 22 - september 28#100 (155)#<977#none#none
eight#october 20 - october 24#80 (130)#<983#unknown#none
nine#october 24 - october 26#45 (75)#<1007#none#none
season aggregates#season aggregates#season aggregates#season aggregates#season aggregates#season aggregates
9 cyclones#may 19 - october 26#110 (175)#961#29.3#71
