player#ranking#record#hardcourt#clay#grass#carpet
caroline wozniacki#1#2 - 2#0 - 1#2 - 1#0 - 0#0 - 0
/ jelena janković#1#1 - 2#1 - 1#0 - 1#0 - 0#0 - 0
maria sharapova#1#0 - 1#0 - 1#0 - 0#0 - 0#0 - 0
serena williams#1#0 - 2#0 - 2#0 - 0#0 - 0#0 - 0
victoria azarenka#1#0 - 1#0 - 0#0 - 0#0 - 1#0 - 0
vera zvonareva#2#0 - 2#0 - 2#0 - 0#0 - 0#0 - 0
elena dementieva#3#0 - 1#0 - 1#0 - 0#0 - 0#0 - 0
nadia petrova#3#0 - 1#0 - 1#0 - 0#0 - 0#0 - 0
agnieszka radwańska#3#0 - 1#0 - 0#0 - 1#0 - 0#0 - 0
kimiko date - krumm#4#1 - 1#1 - 1#0 - 0#0 - 0#0 - 0
/ jelena dokić#4#1 - 1#1 - 1#0 - 0#0 - 0#0 - 0
li na#4#0 - 3#0 - 3#0 - 0#0 - 0#0 - 0
francesca schiavone#4#0 - 1#0 - 1#0 - 0#0 - 0#0 - 0
anna chakvetadze#5#1 - 0#0 - 0#1 - 0#0 - 0#0 - 0
alicia molik#8#1 - 0#1 - 0#0 - 0#0 - 0#0 - 0
flavia pennetta#10#1 - 0#1 - 0#0 - 0#0 - 0#0 - 0
andrea petkovic#10#1 - 2#1 - 0#0 - 2#0 - 0#0 - 0
shahar pe'er#11#0 - 2#0 - 1#0 - 1#0 - 0#0 - 0
sabine lisicki#12#0 - 1#0 - 0#0 - 0#0 - 1#0 - 0
yanina wickmayer#12#0 - 3#0 - 3#0 - 0#0 - 0#0 - 0
anastasia pavlyuchenkova#13#1 - 2#0 - 2#0 - 0#1 - 0#0 - 0
aravane rezaï#15#2 - 0#2 - 0#0 - 0#0 - 0#0 - 0
