rank#player#team#year#bb / so
1#joe sewell#nyy#1932#18.67
2#joe sewell#nyy#1933#17.75
3#joe sewell#cle#1925#16.00
4#joe sewell#cle#1929#12.00
5#charlie hollocher#chc#1922#11.60
6#lou boudreau#cle#1948#10.89
7#eddie collins#cws#1925#10.88
8#joe sewell#cle#1926#10.83
9#eddie collins#cws#1923#10.50
10#mickey cochrane#pha#1929#8.63
11#joe sewell#cle#1923#8.17
12#tommy holmes#bsn#1945#7.78
13#joe sewell#nyy#1931#7.75
14#tris speaker#cle#1920#7.46
15#joe sewell#cle#1927#7.29
16#mickey cochrane#pha#1927#7.14
17#tris speaker#cle#1918#7.11
18#lou boudreau#cle#1949#7.00
18#tris speaker#cle#1922#7.00
