place#player#country#score#to par
1#ben hogan#united states#70 + 69 = 139#- 5
2#bob hamilton#united states#71 + 69 = 140#- 4
t3#chick harbert#united states#68 + 73 = 141#- 3
t3#ted kroll#united states#71 + 70 = 141#- 3
t5#lloyd mangrum#united states#74 + 68 = 142#- 2
t5#milan marusic#united states#70 + 72 = 142#- 2
t5#ed oliver#united states#69 + 73 = 142#- 2
t8#al besselink#united states#69 + 75 = 144#e
t8#julius boros#united states#73 + 71 = 144#e
t8#lew worsham#united states#74 + 70 = 144#e
