place#player#country#score#to par
t1#tom watson#united states#72 + 65 = 137#- 3
t1#mark wiebe#united states#70 + 67 = 137#- 3
t3#john cook#united states#70 + 68 = 138#- 2
t3#bernhard langer#west germany#69 + 69 = 138#- 2
t3#tsuneyuki nakajima#japan#68 + 70 = 138#- 2
t3#jack nicklaus#united states#70 + 68 = 138#- 2
t3#jim thorpe#united states#70 + 68 = 138#- 2
t8#ben crenshaw#united states#67 + 72 = 139#- 1
t8#bob eastwood#united states#73 + 66 = 139#- 1
t8#larry mize#united states#71 + 68 = 139#- 1
t8#scott simpson#united states#71 + 68 = 139#- 1
