rider#manufacturer#laps#time / retired#grid
hiroshi aoyama#ktm#29#41:16.191#6
mika kallio#ktm#29#+ 0.119#1
alex de angelis#aprilia#29#+ 0.274#3
jorge lorenzo#aprilia#29#+ 0.579#4
andrea dovizioso#honda#29#+ 1.296#2
héctor barberá#aprilia#29#+ 11.851#7
marco simoncelli#gilera#29#+ 17.248#8
yuki takahashi#honda#29#+ 22.309#10
thomas luthi#aprilia#29#+ 28.858#12
roberto locatelli#gilera#29#+ 35.983#14
aleix espargaró#aprilia#29#+ 37.377#11
shuhei aoyama#honda#29#+ 42.211#17
dirk heidolf#aprilia#29#+ 51.095#13
alex baldolini#aprilia#29#+ 53.416#15
jules cluzel#honda#29#+ 55.996#21
taro sekiguchi#aprilia#29#+ 56.105#18
álvaro bautista#aprilia#29#+ 1:07.435#9
fabrizio lai#aprilia#29#+ 1:09.728#16
ratthapark wilairot#honda#29#+ 1:17.640#22
thomas walther#honda#19#accident#28
karel abraham#aprilia#19#retirement#20
eugene laverty#honda#18#accident#26
julián simón#honda#14#accident#5
imre toth#aprilia#13#retirement#24
dan linfoot#aprilia#4#accident#25
álvaro molina#aprilia#4#retirement#23
joshua sommer#honda#3#retirement#27
efren vazquez#aprilia#2#accident#19
