date#visitor#score#home#record
november 14#chicago black hawks#2 - 2#toronto maple leafs#0 - 0 - 1
november 16#chicago black hawks#4 - 4#montreal canadiens#0 - 0 - 2
november 19#chicago black hawks#5 - 1#new york americans#1 - 0 - 2
november 21#ottawa senators#6 - 5#chicago black hawks#1 - 1 - 2
november 24#detroit cougars#0 - 4#chicago black hawks#2 - 1 - 2
november 28#new york rangers#3 - 2#chicago black hawks#2 - 2 - 2
december 1#boston bruins#1 - 3#chicago black hawks#3 - 2 - 2
december 5#chicago black hawks#5 - 2#pittsburgh pirates#4 - 2 - 2
december 8#new york americans#2 - 4#chicago black hawks#5 - 2 - 2
december 12#montreal maroons#3 - 4#chicago black hawks#6 - 2 - 2
december 15#pittsburgh pirates#1 - 3#chicago black hawks#7 - 2 - 2
december 19#chicago black hawks#3 - 4#detroit cougars#7 - 3 - 2
december 21#chicago black hawks#1 - 4#boston bruins#7 - 4 - 2
december 22#chicago black hawks#1 - 3#new york rangers#7 - 5 - 2
december 24#chicago black hawks#3 - 1#ottawa senators#8 - 5 - 2
december 26#chicago black hawks#4 - 3#montreal maroons#9 - 5 - 2
december 29#toronto maple leafs#4 - 3#chicago black hawks#9 - 6 - 2
january 1#montreal canadiens#3 - 2#chicago black hawks#9 - 7 - 2
january 5#detroit cougars#4 - 0#chicago black hawks#9 - 8 - 2
january 9#chicago black hawks#1 - 1#detroit cougars#9 - 8 - 3
january 12#new york rangers#1 - 2#chicago black hawks#10 - 8 - 3
january 14#pittsburgh pirates#2 - 6#chicago black hawks#11 - 8 - 3
january 16#boston bruins#1 - 2#chicago black hawks#12 - 8 - 3
january 19#chicago black hawks#1 - 4#new york rangers#12 - 9 - 3
january 21#chicago black hawks#1 - 5#boston bruins#12 - 10 - 3
january 25#chicago black hawks#5 - 2#pittsburgh pirates#13 - 10 - 3
january 28#chicago black hawks#2 - 1#ottawa senators#14 - 10 - 3
january 30#chicago black hawks#0 - 1#montreal canadiens#14 - 11 - 3
february 1#chicago black hawks#0 - 6#toronto maple leafs#14 - 12 - 3
february 2#chicago black hawks#4 - 1#detroit cougars#15 - 12 - 3
february 6#montreal maroons#2 - 3#chicago black hawks#16 - 12 - 3
february 16#montreal canadiens#2 - 1#chicago black hawks#16 - 13 - 3
february 18#new york americans#6 - 4#chicago black hawks#16 - 14 - 3
february 20#ottawa senators#5 - 2#chicago black hawks#16 - 15 - 3
february 23#detroit cougars#2 - 1#chicago black hawks#16 - 16 - 3
february 25#chicago black hawks#2 - 0#montreal maroons#17 - 16 - 3
february 27#chicago black hawks#1 - 1#new york rangers#17 - 16 - 4
march 2#pittsburgh pirates#0 - 3#chicago black hawks#18 - 16 - 4
march 4#new york rangers#2 - 2#chicago black hawks#18 - 16 - 5
march 8#chicago black hawks#4 - 3#pittsburgh pirates#19 - 16 - 5
march 9#chicago black hawks#2 - 5#new york americans#19 - 17 - 5
march 11#chicago black hawks#3 - 4#boston bruins#19 - 18 - 5
march 13#boston bruins#2 - 3#chicago black hawks#20 - 18 - 5
march 18#toronto maple leafs#1 - 4#chicago black hawks#21 - 18 - 5
