club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
club#played#won#drawn#lost#points for#points against#tries for#tries against#try bonus#losing bonus#points
nant conwy rfc#22#19#0#3#647#220#97#29#12#1#89
ruthin rfc#22#19#1#2#605#266#90#33#11#0#89
caernarfon rfc#22#18#0#4#680#205#107#25#14#3#89
llangefni rfc#22#16#0#6#465#260#69#34#9#0#73
mold rfc#22#13#0#9#481#358#64#46#8#4#64
llandudno rfc#22#11#0#11#345#513#43#70#4#2#50
pwllheli rfc#22#9#0#13#350#388#43#54#4#5#45
denbigh rfc#22#7#1#14#329#438#38#56#3#5#38
colwyn bay rfc#22#6#0#16#329#390#39#47#4#10#38
bala rfc#22#6#0#16#294#431#40#57#2#8#34
dolgellau rfc#22#4#0#18#218#608#25#86#2#3#21
llanidloes rfc#22#3#0#19#196#862#19#137#0#1#13
