game#date#team#score#high points#high rebounds#high assists#location attendance#record
18#december 2#golden state#w 107 - 101 (ot)#jason richardson (25)#channing frye (10)#steve nash (16)#oracle arena 18328#9 - 9
19#december 3#indiana#w 105 - 97 (ot)#channing frye (29)#goran dragić (6)#steve nash (11)#us airways center 18422#10 - 9
20#december 5#washington#w 125 - 108 (ot)#hakim warrick (26)#earl barron (8)#steve nash (17)#us airways center 17430#11 - 9
21#december 7#portland#l 99 - 106 (ot)#steve nash (24)#grant hill (8)#steve nash (14)#rose garden 20151#11 - 10
22#december 8#memphis#l 98 - 104 (ot)#goran dragić (17)#josh childress , channing frye , hedo türkoğlu (7)#steve nash (7)#us airways center 16288#11 - 11
23#december 10#portland#l 94 - 101 (ot)#steve nash (24)#channing frye , steve nash (7)#steve nash (5)#us airways center 17284#11 - 12
24#december 15#minnesota#w 128 - 122 (ot)#jason richardson (29)#channing frye (9)#steve nash (19)#us airways center 16997#12 - 12
25#december 17#dallas#l 91 - 106 (ot)#hakim warrick (15)#channing frye , hakim warrick (14)#goran dragić (10)#american airlines center 20406#12 - 13
26#december 19#oklahoma city#w 113 - 110 (ot)#grant hill (30)#grant hill (11)#steve nash (10)#oklahoma city arena 18203#13 - 13
27#december 20#san antonio#l 110 - 118 (ot)#jared dudley (27)#robin lopez (7)#steve nash (10)#at&t center 18581#13 - 14
28#december 23#miami#l 83 - 95 (ot)#jared dudley (33)#jared dudley (12)#steve nash (18)#us airways center 18422#13 - 15
29#december 26#la clippers#l 103 - 108 (ot)#mickaël piétrus (25)#grant hill (7)#steve nash (15)#staples center 19060#13 - 16
30#december 29#philadelphia#l 110 - 123 (ot)#steve nash (23)#marcin gortat (6)#steve nash (15)#us airways center 18422#13 - 17
