position#club#played#points#wins#draws#losses#goals for#goals against#goal difference
1#granada cf#38#47#22#3#13#79#45#+ 34
2#hércules cf#38#45#19#7#12#66#52#+ 14
3#real murcia#38#43#19#5#14#68#50#+ 18
4#córdoba cf#38#43#19#5#14#96#66#+ 30
5#cd málaga#38#42#16#10#12#67#45#+ 22
6#real betis#38#41#17#7#14#80#51#+ 29
7#cd badajoz#38#41#18#5#15#67#64#+ 3
8#atlético ceuta#38#39#17#5#16#53#58#- 5
9#cf extremadura#38#39#18#3#17#61#71#- 10
10#jerez cd#38#39#15#9#14#64#56#+ 8
11#levante ud#38#38#14#10#14#65#68#- 3
12#cádiz cf#38#38#16#6#16#58#72#- 14
13#cd tenerife#38#37#16#5#17#71#60#+ 11
14#cd san fernando#38#37#17#3#18#63#79#- 16
15#alicante cf#38#37#16#5#17#63#77#- 14
16#cd eldense#38#35#16#3#19#67#78#- 11
17#cd mestalla#38#34#13#8#17#61#75#- 14
18#ud españa algeciras#38#31#14#3#21#60#83#- 23
19#puente genil cf#38#27#12#3#23#44#81#- 37
20#cd castellón#38#27#9#9#20#42#64#- 22
