residence hall#established#rector#campus#capacity#colors#mascot
alumni hall#1931#rev george rozum , csc#south quad#246#green and white#dawgs
badin hall#1897#sr denise lyon , ihm#south quad#141#green and white#bullfrogs
breen - phillips hall#1939#sr mary catherine mcnamara , siw#north quad#195#blue and pink#babes
carroll hall#1906#rev james lewis , ocarm#south quad#102#scarlet and gold#vermin
cavanaugh hall#1936#ms jeannine dicarlantonio#north quad#209#green and purple#chaos
dillon hall#1931#rev paul doyle , csc#south quad#328#red and black#big red
duncan hall#2008#mr terence fitzgibbons#west quad#232#green and navy#highlanders
farley hall#1942#ms elaine jc debassige#north quad#221#teal and yellow#finest
fisher hall#1952#rev brad metz , csc#south quad#183#green and white#green wave
howard hall#1924#ms margaret morgan#south quad#147#yellow and green#ducks
keenan hall#1957#mr noel terranova#north quad#275#navy and white#knights
keough hall#1996#rev mr pat reidy , csc#west quad#284#blue and red#kangaroos
knott hall#1988#br jerome meyer , csc#mod quad#239#orange and blue#juggerknotts
lewis hall#1965#ms katy patterson#god quad#254#blue and yellow#chicks
lyons hall#1925#ms meghan brown#south quad#202#black and gold#lions
mcglinn hall#1997#sr mary lynch , ssj#west quad#285#green and white#shamrocks
morrissey manor#1925#rev ronald vierling , mfc#south quad#235#black and yellow#the manor
old college (seminary)#1843#rev stephen lacroix , csc#south quad#22#n / a#n / a
o'neill hall#1996#mr chris tarnacki#west quad#279#blue and silver#angry mob
pangborn hall#1955#sr mary donnelly , op#south quad#173#purple and green#phoxes
pasquerilla east hall#1981#sr cindy broderick , op#mod quad#255#red and black#pyros
pasquerilla west hall#1981#sr mary jane hahner , csfn#mod quad#258#purple and white#purple weasels
ryan hall#2009#ms allie greene#west quad#247#turquoise and white#wildcats
st edward 's hall#1882#rev ralph haag , csc#god quad#161#green and gold#gentlemen
siegfried hall#1988#rev john conley , csc#mod quad#240#maroon and gray#ramblers
sorin college#1888#rev bob loughery , csc#god quad#144#blue and gold#otters
stanford hall#1957#rev william dailey , csc#north quad#254#green and gold#griffins
walsh hall#1909#ms annie selak#god quad#182#navy and light blue#wild women
welsh family hall#1997#sr christine connolly , op#west quad#281#blue and white#whirlwinds
zahm house#1937#rev thomas doyle , csc#north quad#210#red and black#zahmbies , ignats the moose
