category#rank#2013 recipient#location#vote
best new ride (amusement park)#1#outlaw run#silver dollar city#45%
best new ride (waterpark)#1#river rush#dollywood#53%
best park#1#cedar point#sandusky , ohio#23%
best waterpark#1#schlitterbahn#new braunfels , texas#45%
best children 's park#1#idlewild and soak zone#ligonier , pennsylvania#39%
best marine life park#1#seaworld orlando#orlando , florida#58%
best seaside park#1#santa cruz beach boardwalk#santa cruz , california#36%
best indoor waterpark#1#schlitterbahn galveston island#galveston , texas#31%
friendliest park#1#dollywood#pigeon forge , tennessee#35%
cleanest park#1#holiday world & splashin' safari#santa claus , indiana#26%
best shows#1#dollywood#pigeon forge , tennessee#41%
best food#1#dollywood#pigeon forge , tennessee#24%
best food#1#knoebels amusement resort#elysburg , pennsylvania#24%
best water ride (park)#1#dudley do - right 's ripsaw falls#islands of adventure#20%
best waterpark ride#1#wildebeest#holiday world & splashin' safari#24%
best kids' area#1#kings island#mason , ohio#32%
best dark ride#1#harry potter and the forbidden journey#islands of adventure#19%
best outdoor show production#1#epcot#orlando , florida#29%
best landscaping#1#busch gardens williamsburg#williamsburg , virginia#33%
best halloween event#1#universal orlando resort#orlando , florida#30%
best christmas event#1#dollywood#pigeon forge , tennessee#47%
best carousel#1#knoebels amusement resort#elysburg , pennsylvania#48%
best indoor coaster#1#revenge of the mummy#universal studios orlando#23%
best funhouse / walk - through attraction#1#noah 's ark#kennywood#34%
