name#confederation#international goals#caps#goals per match
ali daei#afc#109#149#0.73
ferenc puskás#uefa#84#85#0.96
kunishige kamamoto#afc#80#84#0.95
godfrey chitalu#caf#78#108#0.72
pelé#conmebol#77#92#0.84
sándor kocsis#uefa#75#68#1.10
bashar abdullah#afc#75#133#0.56
majed abdullah#afc#71#116#0.61
stern john#concacaf#70#115#0.61
kiatisuk senamuang#afc#70#131#0.54
gerd müller#uefa#68#62#1.10
miroslav klose#uefa#68#130#0.53
hossam hassan#caf#68#176#0.39
jassem al - houwaidi#afc#63#74#0.85
ronaldo#conmebol#62#98#0.63
didier drogba#caf#62#97#0.64
hussein saeed#afc#61#126#0.48
robbie keane#uefa#61#130#0.47
imre schlosser#uefa#59#68#0.87
carlos pavón#concacaf#57#101#0.56
landon donovan#concacaf#57#154#0.37
gabriel batistuta#conmebol#56#78#0.72
david villa#uefa#56#93#0.60
romário#conmebol#55#70#0.79
kazuyoshi miura#afc#55#89#0.62
jan koller#uefa#55#91#0.60
fandi ahmad#afc#55#101#0.55
joachim streich#uefa#55#102#0.54
carlos ruiz#concacaf#55#104#0.53
samuel eto'o#caf#55#113#0.48
cha bum - kun#afc#55#121#0.46
poul nielsen#uefa#52#38#1.37
jon dahl tomasson#uefa#52#112#0.46
adnan al talyani#afc#52#161#0.32
lajos tichy#uefa#51#72#0.71
hakan şükür#uefa#51#112#0.46
thierry henry#uefa#51#123#0.41
karim bagheri#afc#50#87#0.57
hwang sun - hong#afc#50#103#0.48
