rider#manufacturer#laps#time / retired#grid
mattia pasini#aprilia#20#40:16.202#5
hector barbera#aprilia#20#+ 0.557#2
mika kallio#ktm#20#+ 1.029#4
alex debon#aprilia#20#+ 1.418#1
yuki takahashi#honda#20#+ 12.944#7
alvaro bautista#aprilia#20#+ 14.480#3
karel abraham#aprilia#20#+ 16.721#11
roberto locatelli#gilera#20#+ 18.987#9
aleix espargaro#aprilia#20#+ 32.232#8
hector faubel#aprilia#20#+ 41.102#15
julian simon#ktm#20#+ 41.457#14
fabrizio lai#gilera#20#+ 41.694#13
ratthapark wilairot#honda#20#+ 43.192#19
manuel poggiali#gilera#20#+ 44.228#18
thomas luthi#aprilia#20#+ 48.760#10
hiroshi aoyama#ktm#20#+ 1:11.031#12
doni tata pradita#yamaha#20#+ 2:05.461#23
alex baldolini#aprilia#14#retirement#17
lukas pesek#aprilia#12#retirement#16
marco simoncelli#gilera#7#retirement#6
imre toth#aprilia#4#retirement#22
manuel hernandez#aprilia#0#retirement#21
eugene laverty#aprilia#0#retirement#20
