res#record#opponent#method#event#round#location
loss#7 - 5#gary goodridge#decision (split)#pride 21#3#saitama , japan
win#7 - 4#mindaugas kulikauskas#decision#rings lithuania : bushido rings 3#2#lithuania
loss#6 - 4#andrey juravkov#decision#bars - bars#3#moscow , russia
win#6 - 3#stanislav nuschik#tko#bars - moscow vs st petersburg#2#moscow , russia
loss#5 - 3#islam dadalov#decision#iafc - pankration russian championship 2001#n / a#yaroslavl , russia
loss#5 - 2#antãnio rodrigo nogueira#submission (armbar)#rings : king of kings 2000 block a#1#tokyo , japan
win#5 - 1#vepcho bardanashvili#submission (achilles lock)#rings : russia vs georgia#1#ekaterinburg , russia
win#4 - 1#valentijn overeem#submission (achilles lock)#rings russia : russia vs the world#1#ekaterinburg , russia
win#3 - 1#vyacheslav kiselyov#submission (armbar)#iafc - pankration world championship 2000#1#moscow , russia
loss#2 - 1#lee hasdell#tko (kick)#rings : king of kings 1999 block a#2#tokyo , japan
win#2 - 0#zabir elbiev#tko (cut)#iafc - pankration russian championship 1999#1#russia
win#1 - 0#denis shibankov#submission (strikes)#iafc - pankration european championship 1998#1#moscow , russia
