rank#state#population#area (km²)#density
—#federal district#8720 , 700#1499#5817.7
1#mexico state#14349 , 700#21461#668.6
2#morelos#1637 , 400#4941#331.4
3#tlaxcala#1034 , 600#3914#264.3
4#aguascalientes#1023 , 800#5589#183.2
5#puebla#5480 , 200#33919#161.6
6#guanajuato#4919 , 000#30589#160.8
7#querétaro#1558 , 500#11769#132.4
8#hidalgo#2330 , 900#20987#111.1
9#colima#581100#5455#106.5
10#veracruz#6980 , 900#72815#95.9
11#jalisco#6540 , 700#80137#81.6
12#tabasco#1994 , 700#24661#80.9
13#michoacán#4066 , 900#59864#67.9
14#nuevo león#4041 , 300#64555#62.6
15#chiapas#4329 , 700#73887#58.6
—#united mexican states#102797 , 200#1967 , 138#52.3
16#guerrero#3196 , 100#63749#50.1
17#sinaloa#2574 , 300#58092#44.3
18#yucatán#1714 , 100#39340#43.6
19#baja california#2846 , 500#70113#40.6
20#oaxaca#3651 , 100#95364#38.3
21#san luis potosí#2370 , 400#62848#37.7
22#tamaulipas#2927 , 300#79829#36.7
23#nayarit#942200#27621#34.1
24#quintana roo#1023 , 500#50350#20.3
25#zacatecas#1381 , 900#75040#18.4
26#coahuila#2395 , 100#151571#15.8
27#campeche#720900#51833#13.9
28#chihuahua#3274 , 700#247087#13.3
29#sonora#2262 , 700#184934#12.2
30#durango#1449 , 100#119648#12.1
31#baja california sur#477300#73677#6.5
