date#visitor#score#home#record
october 14#chicago black hawks#3 - 3#detroit red wings#0 - 0 - 1
october 15#detroit red wings#2 - 2#chicago black hawks#0 - 0 - 2
october 17#boston bruins#3 - 5#chicago black hawks#1 - 0 - 2
october 19#new york rangers#4 - 2#chicago black hawks#1 - 1 - 2
october 21#chicago black hawks#1 - 1#toronto maple leafs#1 - 1 - 3
october 22#montreal canadiens#3 - 2#chicago black hawks#1 - 2 - 3
october 25#chicago black hawks#1 - 1#new york rangers#1 - 2 - 4
october 26#chicago black hawks#1 - 7#montreal canadiens#1 - 3 - 4
october 29#chicago black hawks#2 - 2#boston bruins#1 - 3 - 5
october 31#new york rangers#4 - 2#chicago black hawks#1 - 4 - 5
november 4#chicago black hawks#1 - 2#toronto maple leafs#1 - 5 - 5
november 5#chicago black hawks#4 - 3#boston bruins#2 - 5 - 5
november 7#toronto maple leafs#0 - 6#chicago black hawks#3 - 5 - 5
november 11#chicago black hawks#1 - 2#montreal canadiens#3 - 6 - 5
november 12#chicago black hawks#1 - 4#new york rangers#3 - 7 - 5
november 15#detroit red wings#0 - 2#chicago black hawks#4 - 7 - 5
november 19#montreal canadiens#3 - 3#chicago black hawks#4 - 7 - 6
november 23#toronto maple leafs#5 - 2#chicago black hawks#4 - 8 - 6
november 26#detroit red wings#1 - 4#chicago black hawks#5 - 8 - 6
november 29#boston bruins#4 - 7#chicago black hawks#6 - 8 - 6
december 2#chicago black hawks#4 - 6#toronto maple leafs#6 - 9 - 6
december 3#montreal canadiens#1 - 0#chicago black hawks#6 - 10 - 6
december 6#chicago black hawks#8 - 3#new york rangers#7 - 10 - 6
december 7#chicago black hawks#5 - 2#boston bruins#8 - 10 - 6
december 9#chicago black hawks#0 - 3#detroit red wings#8 - 11 - 6
december 10#detroit red wings#3 - 2#chicago black hawks#8 - 12 - 6
december 13#boston bruins#2 - 2#chicago black hawks#8 - 12 - 7
december 17#new york rangers#1 - 3#chicago black hawks#9 - 12 - 7
december 21#chicago black hawks#4 - 3#montreal canadiens#10 - 12 - 7
december 23#chicago black hawks#3 - 7#new york rangers#10 - 13 - 7
december 25#toronto maple leafs#3 - 3#chicago black hawks#10 - 13 - 8
december 27#chicago black hawks#0 - 0#toronto maple leafs#10 - 13 - 9
december 28#chicago black hawks#2 - 2#detroit red wings#10 - 13 - 10
december 30#chicago black hawks#4 - 4#montreal canadiens#10 - 13 - 11
january 1#montreal canadiens#0 - 2#chicago black hawks#11 - 13 - 11
january 3#new york rangers#1 - 2#chicago black hawks#12 - 13 - 11
january 4#chicago black hawks#1 - 1#detroit red wings#12 - 13 - 12
january 6#chicago black hawks#3 - 6#toronto maple leafs#12 - 14 - 12
january 7#boston bruins#2 - 0#chicago black hawks#12 - 15 - 12
january 11#chicago black hawks#6 - 0#boston bruins#13 - 15 - 12
january 13#new york rangers#2 - 4#chicago black hawks#14 - 15 - 12
january 14#toronto maple leafs#2 - 2#chicago black hawks#14 - 15 - 13
january 17#montreal canadiens#7 - 3#chicago black hawks#14 - 16 - 13
january 21#new york rangers#1 - 3#chicago black hawks#15 - 16 - 13
january 24#toronto maple leafs#1 - 2#chicago black hawks#16 - 16 - 13
january 27#chicago black hawks#3 - 5#boston bruins#16 - 17 - 13
january 28#chicago black hawks#3 - 0#new york rangers#17 - 17 - 13
january 31#detroit red wings#1 - 4#chicago black hawks#18 - 17 - 13
february 1#chicago black hawks#7 - 4#detroit red wings#19 - 17 - 13
february 3#boston bruins#3 - 6#chicago black hawks#20 - 17 - 13
february 4#toronto maple leafs#1 - 2#chicago black hawks#21 - 17 - 13
february 8#chicago black hawks#6 - 2#boston bruins#22 - 17 - 13
february 10#chicago black hawks#1 - 2#new york rangers#22 - 18 - 13
february 11#montreal canadiens#4 - 3#chicago black hawks#22 - 19 - 13
february 14#new york rangers#3 - 4#chicago black hawks#23 - 19 - 13
february 17#chicago black hawks#2 - 6#montreal canadiens#23 - 20 - 13
february 18#boston bruins#0 - 6#chicago black hawks#24 - 20 - 13
february 21#detroit red wings#4 - 6#chicago black hawks#25 - 20 - 13
february 24#chicago black hawks#6 - 1#detroit red wings#26 - 20 - 13
february 25#boston bruins#0 - 8#chicago black hawks#27 - 20 - 13
february 28#chicago black hawks#2 - 4#toronto maple leafs#27 - 21 - 13
march 1#chicago black hawks#5 - 4#boston bruins#28 - 21 - 13
march 4#montreal canadiens#2 - 5#chicago black hawks#29 - 21 - 13
march 11#toronto maple leafs#3 - 2#chicago black hawks#29 - 22 - 13
march 15#chicago black hawks#5 - 6#montreal canadiens#29 - 23 - 13
march 17#chicago black hawks#3 - 1#toronto maple leafs#30 - 23 - 13
march 18#chicago black hawks#1 - 4#detroit red wings#30 - 24 - 13
march 20#detroit red wings#0 - 3#chicago black hawks#31 - 24 - 13
march 24#chicago black hawks#3 - 5#montreal canadiens#31 - 25 - 13
march 25#chicago black hawks#1 - 4#new york rangers#31 - 26 - 13
