date#opponent#score#loss#attendance#record
july 2#royals#3 - 2#cox (5 - 4)#23832#48 - 32
july 3#royals#3 - 2#morris (5 - 8)#28060#48 - 33
july 4#royals#3 - 1#stottlemyre (5 - 6)#40329#48 - 34
july 5#white sox#4 - 3#hentgen (11 - 3)#50508#48 - 35
july 6#white sox#5 - 1#mcdowell (12 - 6)#50505#49 - 35
july 7#white sox#5 - 2#guzmán (7 - 2)#50517#49 - 36
july 8#rangers#6 - 1#morris (5 - 9)#50525#49 - 37
july 9#rangers#4 - 2#stottlemyre (5 - 7)#50506#49 - 38
july 10#rangers#10 - 7#hentgen (11 - 4)#50508#49 - 39
july 11#rangers#11 - 6#stewart (4 - 4)#50516#49 - 40
july 15#royals#7 - 2#burgos (0 - 1)#50503#50 - 40
july 16#royals#7 - 3#morris (5 - 10)#50531#50 - 41
july 17#royals#5 - 4#cox (5 - 5)#50512#50 - 42
july 18#royals#4 - 3#pichardo (4 - 6)#50524#51 - 42
july 19#white sox#15 - 7#bolton (1 - 6)#40127#52 - 42
july 20#white sox#2 - 1#guzmán (7 - 3)#30454#52 - 43
july 21#white sox#4 - 1#álvarez (8 - 6)#30900#53 - 43
july 22#rangers#8 - 7#carpenter (0 - 1)#38198#54 - 43
july 23#rangers#6 - 5#hentgen (12 - 5)#38124#54 - 44
july 24#rangers#5 - 1#leibrandt (9 - 6)#38457#55 - 44
july 25#rangers#9 - 7#henke (4 - 3)#40277#56 - 44
july 27#orioles#6 - 5#poole (1 - 1)#50513#57 - 44
july 28#orioles#5 - 4 (10)#williamson (5 - 2)#50523#58 - 44
july 29#tigers#7 - 4#bolton (1 - 4)#50528#59 - 44
july 30#tigers#8 - 5#stewart (6 - 5)#50511#59 - 45
july 31#tigers#3 - 1#wells (10 - 7)#50532#60 - 45
