name#nationality#position#years#appearances#goals
gareth abraham#wales#cd#1987 - 1993#109#5
neil alexander#scotland#gk#2001 - 2007#234#0
ivor allchurch#wales#if#1962 - 1965#112#39
willie anderson#england#wg#1973 - 1977#142#12
lee baddeley#wales#cd#1990 - 1997#164#1
billy baker#wales#wh#1938 - 1955#308#6
colin baker#wales#wh#1953 - 1966#328#18
chris barker#england#fb#2002 - 2007#180#0
kevin bartlett#england#fw#1986 - 1989#105#28
billy bassett#wales#cd#1934 - 1938#170#2
gary bell#england#fb#1966 - 1974#265#12
ronnie bird#england#of#1966 - 1971#128#28
tony bird#wales#fw#1992 - 1996#100#18
ray bishop#wales#fw#1977 - 1981#118#29
george blackburn#england#wh#1926 - 1931#119#1
doug blair#england#if#1947 - 1954#216#30
jimmy blair#scotland#fb#1920 - 1926#208#0
darcy blake#wales#df#2005 - 2012#118#0
nathan blake#wales#fw#1990 - 1994#164#40
willie boland#ireland#mf#1999 - 2006#243#4
mark bonner#england#mf#1998 - 2004#170#3
jay bothroyd#england#fw#2008 - 2011#136#45
jason bowen#wales#wg#1998 - 2004#161#37
terry boyle#wales#cd#1986 - 1989#158#9
derek brazil#ireland#cd#1992 - 1996#141#1
john buchanan#scotland#mf#1974 - 1981#264#61
chris burke#scotland#mf#2009 - 2011#121#16
alan campbell#scotland#mf#1976 - 1980#193#2
david carver#england#fb#1966 - 1973#243#2
michael chopra#england#fw#2006 - 2007 , 2008 - 2009 & 2009 - 2011#162#65
brian clark#england#fw#1967 - 1972 & 1975 - 1976#240#91
joe clennell#england#if#1921 - 1924#135#41
graham coldrick#wales#fb#1963 - 1970#118#3
alan curtis#wales#mf / fw#1986 - 1989#154#13
carl dale#wales#fw#1991 - 1998#253#94
fred davies#england#gk#1968 - 1970#111#0
len davies#wales#fw#1920 - 1931#339#148
phil dwyer#wales#cd#1972 - 1985#531#45
robert earnshaw#wales#fw#1997 - 2004 , 2011 - 2013#227#109
jeff eckhardt#england#cd / mf#1996 - 2001#164#17
george edwards#wales#of#1948 - 1955#209#37
george emmerson#england#of#1930 - 1933#127#19
herbie evans#wales#wh#1920 - 1926#109#2
jack evans#wales#of#1920 - 1926#226#12
tony evans#england#fw#1975 - 1978#145#58
tom farquharson#ireland#gk#1922 - 1935#481#0
greg farrell#scotland#of#1964 - 1967#113#9
bobby ferguson#england#fb#1965 - 1968#108#0
hughie ferguson#scotland#fw#1925 - 1929#131#87
mike ford#england#fb / cd#1984 - 1987 & 1998 - 2000#232#14
trevor ford#wales#fw#1953 - 1956#101#45
leo fortune - west#england#fw#2000 - 2003#113#28
jason fowler#england#mf#1996 - 2001#169#20
danny gabbidon#wales#cd#2000 - 2005#219#10
jack galbraith#scotland#wh#1931 - 1935#152#2
roger gibbins#england#mf / cd#1982 - 1985 & 1988 - 1993#324#32
ian gibson#scotland#mf#1970 - 1972#109#14
david giles#wales#wg#1974 - 1978 & 1985 - 1987#131#6
jimmy gill#england#if / of#1920 - 1925#212#94
jimmy gilligan#england#fw#1987 - 1989#121#46
cliff godfrey#england#wh#1935 - 1938#112#1
wilf grant#england#fw#1949 - 1954#159#67
arthur granville#wales#fb#1934 - 1938#106#7
steve grapes#england#mf#1976 - 1982#166#6
cohen griffith#guyana#wg#1989 - 1995#275#48
billy grimshaw#england#of#1920 - 1923#124#17
aron gunnarsson#iceland#mf#2011 -#100#14
jon hallworth#england#gk#1997 - 2001#147#0
roger hansbury#england#gk#1989 - 1992#113#0
billy hardy#england#cd / wh#1920 - 1932#408#6
alan harrington#wales#fb#1952 - 1966#381#7
brian harris#england#wh#1966 - 1971#181#1
francis harris#england#wh / if#1928 - 1933#135#12
ron healey#ireland#gk#1974 - 1982#241#0
barrie hole#wales#wh#1959 - 1966#241#18
ken hollyman#wales#wh#1946 - 1953#202#11
ron howells#wales#gk#1950 - 1957#163#0
mark hudson#england#df#2009 -#156#11
bill irwin#northern ireland#gk#1971 - 1978#210#0
lee jarman#wales#cd#1993 - 1999#111#2
dilwyn john#wales#gk#1961 - 1967#104#0
roger johnson#england#cd#2006 - 2009#136#14
barrie jones#wales#of#1967 - 1970#128#22
linden jones#wales#fb / mf#1978 - 1983#162#3
leslie jones#wales#if#1929 - 1934#149#32
phil joslin#england#gk#1948 - 1951#117#0
graham kavanagh#ireland#mf#2001 - 2005#165#31
fred keenor#wales#cd#1920 - 1930#414#14
mark kelly#england#mf#1987 - 1990#128#2
peter king#england#fw#1960 - 1974#431#89
albert larmour#northern ireland#cd#1972 - 1979#180#0
joe ledley#wales#mf#2004 - 2010#256#30
andy legg#wales#fb#1998 - 2003#209#12
arthur lever#wales#fb#1946 - 1950#165#9
bernie lewis#wales#of#1963 - 1967#105#10
john lewis#wales#mf#1978 - 1983#160#10
doug livermore#england#mf#1975 - 1977#107#5
glenn loovens#netherlands#cd#2005 - 2008#115#3
danny malloy#scotland#cd#1955 - 1961#242#1
david marshall#scotland#gk#2009 -#160#0
jimmy mccambridge#ireland#fw#1930 - 1933#100#53
george mclachlan#scotland#of#1925 - 1929#154#24
kevin mcnaughton#scotland#fb#2006 -#284#2
stephen mcphail#ireland#mf#2006 - 2013#222#3
tarki micallef#wales#mf#1978 - 1983 & 1984 - 1986#138#12
craig middleton#england#mf#1996 - 2000#142#11
paul millar#northern ireland#mf#1991 - 1995#146#20
alec milne#scotland#fb#1957 - 1965#188#1
stan montgomery#england#cd#1948 - 1955#243#4
jimmy mullen#england#cd#1981 - 1986#149#12
don murray#scotland#cd#1962 - 1975#483#7
jimmy nelson#scotland#fb#1921 - 1930#271#3
george nicholson#england#wh#1936 - 1939#113#0
kevin nugent#england#fw#1997 - 2002#118#37
cliff nugent#england#of#1951 - 1958#122#20
wayne o 'sullivan#ireland#mf#1997 - 1999#100#5
paul parry#wales#wg#2004 - 2009#214#27
jason perry#wales#cd#1987 - 1997#338#5
freddie pethard#scotland#fb#1969 - 1979#191#0
leighton phillips#wales#cd / mf#1967 - 1974#213#14
chris pike#england#fw#1986 & 1989 - 1993#181#74
nick platnauer#england#fb / mf#1986 - 1989#142#9
keith pontin#wales#cd#1976 - 1983#219#5
reg pugh#wales#of#1934 - 1938#182#27
darren purse#england#cd#2005 - 2009#124#12
gavin rae#scotland#mf#2007 - 2011#153#8
gil reece#wales#wg#1972 - 1976#116#26
billy rees#wales#if#1946 - 1949#107#36
nick richardson#england#mf#1992 - 1995#130#14
william roberts#england#fb#1928 - 1933#135#1
ian rodgerson#england#wg / fb#1988 - 1991 & 1995 - 1997#191#6
peter rodrigues#wales#fb#1961 - 1965#103#2
billy ronson#england#mf#1979 - 1981#102#4
charles rutter#england#fb#1949 - 1958#125#0
peter sayer#wales#wg#1974 - 1978#102#19
damon searle#wales#fb#1990 - 1996#278#4
alf sherwood#wales#fb#1946 - 1956#372#15
derek showers#wales#fw#1970 - 1977#100#13
bert smith#ireland#cd#1920 - 1923#123#3
fred stansfield#wales#cd#1946 - 1949#111#1
gary stevens#england#fw / cd#1978 - 1982#163#47
ron stitfall#wales#fb#1947 - 1964#421#8
derrick sullivan#wales#wh#1947 - 1961#285#19
mel sutton#england#mf#1967 - 1972#165#7
les talbot#england#if#1936 - 1939#110#23
derek tapscott#wales#fw#1958 - 1965#214#86
