no#season#start date (1 st night)#end date (last night)#location#no of proms
1#1895#saturday 10 august#saturday 5 october#queen 's hall , london#49
2#1896#saturday 29 august#saturday 10 october#queen 's hall , london#37
3#1897#saturday 28 august#saturday 9 october#queen 's hall , london#43
4#1898#saturday 27 august#saturday 15 october#queen 's hall , london#43
5#1899#saturday 26 august#saturday 21 october#queen 's hall , london#49
6#1900#saturday 25 august#saturday 10 october#queen 's hall , london#67
7#summer 1901#saturday 24 august#saturday 9 october#queen 's hall , london#67
7a#winter 1901 / 02#saturday 26 december#saturday 1 february#queen 's hall , london#33
8#1902#saturday 23 august#saturday 8 november#queen 's hall , london#67
9#1903#saturday 22 august#friday 23 october#queen 's hall , london#54
10#1904#saturday 6 august#friday 21 october#queen 's hall , london#66
11#1905#saturday 19 august#friday 27 october#queen 's hall , london#60
12#1906#saturday 18 august#friday 26 october#queen 's hall , london#60
13#1907#saturday 17 august#saturday 26 october#queen 's hall , london#61
14#1908#saturday 15 august#saturday 24 october#queen 's hall , london#61
15#1909#saturday 14 august#saturday 23 october#queen 's hall , london#61
16#1910#saturday 13 august#saturday 22 october#queen 's hall , london#61
17#1911#saturday 12 august#saturday 21 october#queen 's hall , london#61
18#1912#saturday 17 august#saturday 26 october#queen 's hall , london#61
19#1913#saturday 16 august#saturday 25 october#queen 's hall , london#61
20#1914#saturday 15 august#saturday 24 october#queen 's hall , london#61
21#1915#saturday 14 august#saturday 23 october#queen 's hall , london#61
22#1916#saturday 26 august#saturday 21 october#queen 's hall , london#49
23#1917#saturday 25 august#saturday 20 october#queen 's hall , london#49
24#1918#saturday 11 august#saturday 19 october#queen 's hall , london#61
25#1919#saturday 16 august#saturday 25 october#queen 's hall , london#61
26#1920#saturday 14 august#saturday 23 october#queen 's hall , london#61
27#1921#saturday 13 august#saturday 22 october#queen 's hall , london#61
28#1922#saturday 12 august#saturday 21 october#queen 's hall , london#61
29#1923#saturday 11 august#saturday 20 october#queen 's hall , london#61
30#1924#saturday 9 august#saturday 18 october#queen 's hall , london#61
31#1925#saturday 8 august#saturday 17 october#queen 's hall , london#61
32#1926#saturday 14 august#saturday 16 october#queen 's hall , london#55
33#1927#saturday 13 august#saturday 24 october#queen 's hall , london#37
34#1928#saturday 11 august#saturday 6 october#queen 's hall , london#49
35#1929#saturday 10 august#saturday 5 october#queen 's hall , london#49
36a#1930 (london)#saturday 9 august#saturday 4 october#queen 's hall , london#49
37#1931#saturday 8 august#saturday 3 october#queen 's hall , london#48
38#summer 1932#saturday 6 august#saturday 1 october#queen 's hall , london#49
38a#winter 1932 / 33#saturday 31 december#saturday 14 february#queen 's hall , london#13
39#1933#saturday 12 august#saturday 7 october#queen 's hall , london#49
40#summer 1934#saturday 11 august#saturday 6 october#queen 's hall , london#49
40a#winter 1934 / 35#monday 31 december#saturday 12 january#queen 's hall , london#12
41#summer 1935#saturday 10 august#saturday 5 october#queen 's hall , london#49
41a#winter 1935 / 36#monday 30 december#saturday 11 january#queen 's hall , london#12
42#1936#saturday 8 august#saturday 3 october#queen 's hall , london#49
43#1937#saturday 7 august#saturday 2 october#queen 's hall , london#49
44#1938#saturday 6 august#saturday 1 october#queen 's hall , london#49
