draft#round#pick#player#nationality
1980#1#13#denis cyr#canada
1980#2#31#tony curtale#united states
1980#2#32#kevin lavallee#canada
1980#2#39#steve konroyd#canada
1980#4#76#marc roy#canada
1980#5#97#randy turnbull#canada
1980#6#118#john multan#canada
1980#7#139#dave newsom#canada
1980#8#160#claude drouin#canada
1980#9#181#hakan loob#sweden
1980#10#202#steven fletcher#canada
1981#1#15#al macinnis#canada
1981#3#56#mike vernon#canada
1981#4#78#peter madach#sweden
1981#5#99#mario simioni#canada
1981#6#120#todd hooey#canada
1981#7#141#rick heppner#united states
1981#8#162#dale degray#canada
1981#9#183#george boudreau#united states
1981#10#204#bruce eakin#canada
1982#2#29#dave reierson#canada
1982#3#51#jim laing#united states
1982#4#65#dave meszaros#canada
1982#4#72#mark lamb#canada
1982#5#93#lou kiriakou#canada
1982#6#114#jeff vaive#canada
1982#6#118#mats kihlstrom#sweden
1982#7#135#brad ramsden#canada
1982#8#156#roy myllari#canada
1982#9#177#ted pearson#canada
1982#10#198#jim uens#canada
1982#11#219#rick erdall#united states
1982#12#240#dale thompson#canada
1983#1#13#dan quinn#canada
1983#3#51#brian bradley#canada
1983#3#55#perry berezan#canada
1983#4#66#john bekkers#canada
1983#4#71#kevan guy#canada
1983#4#77#bill claviter#united states
1983#5#91#igor liba#slovakia
1983#6#111#grant blair#canada
1983#7#131#jeff hogg#canada
1983#8#151#chris macdonald#canada
1983#9#171#rob kivell#canada
1983#10#191#tom pratt#united states
1983#11#211#jaroslav benak#czech republic
1983#12#231#sergei makarov#russia
1984#1#12#gary roberts#canada
1984#2#33#ken sabourin#canada
1984#2#38#paul ranheim#united states
1984#4#75#petr rosol#czech republic
1984#5#96#joel paunio#finland
1984#6#117#brett hull#united states
1984#7#138#kevan melrose#canada
1984#8#159#jiri hrdina#czech republic
1984#9#180#gary suter#united states
1984#10#200#petr rucka#czech republic
1984#11#221#stefan jonsson#sweden
1984#12#241#rudolf suchanek#czech republic
1985#1#17#chris biotti#united states
1985#2#27#joe nieuwendyk#canada
1985#2#38#jeff wenaas#canada
1985#3#59#lane macdonald#united states
1985#4#80#roger johansson#sweden
1985#5#101#esa keskinen#finland
1985#6#122#tim sweeney#united states
1985#7#143#stu grimson#canada
1985#8#164#nate smith#united states
1985#9#185#darryl olsen#canada
1985#10#206#peter romberg#germany
1985#11#227#alexander kozhevnikov#russia
1985#12#248#bill gregoire#canada
1986#1#16#george pelawa#united states
1986#2#37#brian glynn#germany
1986#4#79#tom quinlan#united states
1986#5#100#scott bloom#united states
1986#6#121#john parker#united states
1986#7#142#rick lessard#canada
1986#8#163#mark olsen#united states
1986#9#184#scott sharples#canada
1986#10#205#doug pickel#canada
1986#11#226#anders lindstrom#sweden
1986#12#247#antonin stavjana#czech republic
1986#s#4#steve macswain#united states
1987#1#19#bryan deasley#canada
1987#2#25#stephane matteau#canada
1987#2#40#kevin grant#canada
1987#3#61#scott mahoney#canada
1987#4#70#tim harris#canada
1987#5#103#tim corkery#canada
1987#6#124#joe aloi#canada
1987#7#145#peter ciavaglia#united states
1987#8#166#theoren fleury#canada
1987#9#187#mark osiecki#united states
1987#10#208#bill sedergren#united states
1987#11#229#peter hasselblad#sweden
1987#12#250#magnus svensson#sweden
1987#s#4#peter lappin#united states
1988#1#21#jason muzzatti#canada
1988#2#42#todd harkins#united states
1988#4#84#gary socha#united states
1988#5#85#tomas forslund#sweden
1988#5#90#scott matusovich#united states
1988#6#126#jonas bergqvist#sweden
1988#7#147#stefan nilsson#sweden
1988#8#168#troy kennedy#canada
1988#9#189#brett petersen#united states
1988#10#210#guy darveau#canada
1988#11#231#dave tretowicz#united states
1988#12#252#sergei pryakhin#russia
1988#s#26#jerry tarrant#united states
1989#2#24#kent manderville#canada
1989#2#42#ted drury#united states
1989#3#50#veli - pekka kautonen#finland
1989#3#63#corey lyons#canada
1989#4#70#robert reichel#czech republic
1989#4#84#ryan o'leary#united states
1989#5#105#toby kearney#united states
1989#7#147#alex nikolic#canada
1989#8#168#kevin wortman#united states
1989#9#189#sergei gomolyako#russia
1989#10#210#dan sawyer#united states
1989#11#231#alexander yudin#russia
1989#12#252#kenneth kennholt#sweden
1989#s#26#shawn heaphy#canada
1990#1#11#trevor kidd#canada
1990#2#26#nicolas perreault#canada
1990#2#32#vesa viitakoski#finland
1990#2#41#etienne belzile#canada
1990#3#62#glen mears#united states
1990#4#83#paul kruse#canada
1990#6#125#chris tschupp#united states
1990#7#146#dmitri frolov#russia
1990#8#167#shawn murray#united states
1990#9#188#michael murray#united states
1990#10#209#rob sumner#canada
1990#12#251#leo gudas#czech republic
1990#s#24#lyle wildgoose#canada
1991#1#19#niklas sundblad#sweden
1991#2#41#francois groleau#canada
1991#3#52#sandy mccarthy#canada
1991#3#63#brian caruso#canada
1991#4#85#steve magnusson#united states
