english name#chinese name#year signed#year separated#reason for separation
bill chan#石修#1971# #
roman tam#羅文#1974#1989#
leslie cheung#張國榮#1982#1986#
david lui#呂方#1984#1990#
andy lau#劉德華#1985#1985#
tony leung chiu - wai#梁朝偉#1985#1992#
jackie chan#成龍#1986#1989#
alex to#杜德偉#1986#1990#
andy hui#許志安#1986#1997#
adam cheng#鄭少秋#1987#1987#
leon lai#黎明#1987#1990#
william so#蘇永康#1987#1987#
anthony lun#倫永亮#1988#1990#
patrick tam yiu man#譚耀文#1989#1994#dissolved contract with capital
edmond leung#梁漢文#1989#2001#capital stopped recording music
tsui chun tung#徐鎮東#1990#1993#retired from music industry
aaron kwok#郭富城#1991#1993#
chang kuan#常寬#1992#1992#retired from music industry
phil chang#張宇#1993#1994#
michael tong man lung#唐文龍#1994#1996#
gabriel harrison#海俊傑#1994#1997#retired from music industry
eason chan#陳奕迅#1995#2000#
cheung ming - man#張明敏#1997#1997#retired from music industry
wilfred lau#劉浩龍#1997#2001#capital stopped recording music
louis koo#古天樂#1998#2001#
patrick tang#鄧健泓#1998#2001#
ho yin leung#梁浩賢#2000#2001#retired from music industry
