episode#air date#time slot (est)#rating#share#18 - 49 (rating / share)#viewers (m)#rank (overall)
pilot#september 27 , 2007#thursday , 10:00 p.m#7.8#13#4.7 / 13#11.10#29
tall , dark and hairless#october 4 , 2007#thursday , 10:00 p.m#6.1#10#3.7 / 10#10.14#50
the good , the bad and the really ugly#october 11 , 2007#thursday , 10:00 p.m#6.3#11#3.9 / 11#9.28#53
three 's a crowd#october 18 , 2007#thursday , 10:00 p.m#6.0#10#3.3 / 9#8.34#53
greatest amerimart hero#october 25 , 2007#thursday , 10:00 p.m#5.7#9#3.3 / 7#8.08#61
car trouble#november 1 , 2007#thursday , 10:00 p.m#6.2#10#3.7 / 10#7.53#54
who 's your daddy#november 8 , 2007#thursday , 10:00 p.m#5.9#10#3.6 / 9#8.62#59
the way we weren't#november 29 , 2007#thursday , 10:00 p.m#4.1#7#2.4 / 7#5.98#79
the better man#january 10 , 2008#thursday , 10:00 p.m#4.7#8#2.6 / 8#6.76#52
sex be not proud#january 17 , 2008#thursday , 10:00 p.m#3.5#6#1.8 / 5#4.78#69
who 's the boss#january 24 , 2008#thursday , 10:00 p.m#3.6#6#1.8 / 5#4.97#n / a
