res#record#opponent#method#round#time#location
loss#19 - 9#daniel cormier#decision (unanimous)#3#5:00#houston , texas , united states
loss#19 - 8#stipe miocic#decision (unanimous)#3#5:00#winnipeg , manitoba , canada
win#19 - 7#cheick kongo#ko (punches)#1#2:03#newark , new jersey , united states
win#18 - 7#matt mitrione#tko (punches)#1#2:58#las vegas , nevada , united states
win#17 - 7#dave herman#ko (punch)#1#0:51#las vegas , nevada , united states
loss#16 - 7#fabricio werdum#decision (unanimous)#3#5:00#las vegas , nevada , united states
win#16 - 6#mirko filipović#tko (punches)#3#1:30#las vegas , nevada , united states
loss#15 - 6#frank mir#decision (unanimous)#3#5:00#las vegas , nevada , united states
loss#15 - 5#junior dos santos#decision (unanimous)#3#5:00#oakland , california , united states
win#15 - 4#stefan struve#ko (punches)#1#0:39#charlotte , north carolina , united states
win#14 - 4#brendan schaub#ko (punch)#1#3:45#las vegas , nevada , united states
loss#13 - 4#jeff monson#decision (unanimous)#3#5:00#pensacola , florida , united states
loss#13 - 3#andrei arlovski#ko (punch)#2#3:14#sunrise , florida , united states
win#13 - 2#brad imes#ko (punch)#1#3:55#uncasville , connecticut , united states
win#12 - 2#fabiano scherner#tko (punches)#1#3:20#las vegas , nevada , united states
win#11 - 2#antoine jaoude#ko (punch)#2#0:22#uncasville , connecticut , united states
win#10 - 2#bryan vetell#tko (punches)#3#1:01#chicago , illinois , united states
win#9 - 2#shane ott#decision (unanimous)#3#4:00#las vegas , nevada , united states
loss#8 - 2#ben rothwell#decision (split)#3#4:00#moline , illinois , united states
win#8 - 1#mario rinaldi#tko (punches)#1#2:38#costa rica
win#7 - 1#vince lucero#tko (punches)#1#1:55#oakland , california , united states
loss#6 - 1#josh curran#decision (unanimous)#3#5:00#saint petersburg , russia
win#6 - 0#jerome smith#submission (arm - triangle choke)#1#4:13#butte , montana , united states
win#5 - 0#jason godsey#submission (rear - naked choke)#1#4:42#butte , montana , united states
win#4 - 0#michael buchkovich#submission (rear - naked choke)#1#0:56#las vegas , nevada , united states
win#3 - 0#ray seraile#submission (punches)#2#3:41#mangilao , guam
win#2 - 0#jerry vrbanovic#decision (split)#3#3:00#redding , california , united states
win#1 - 0#bo cantrell#submission (hammerlock)#3#2:52#redding , california , united states
