ngc number#object type#constellation#right ascension ( j2000 )#declination ( j2000 )#apparent magnitude
2516#open cluster#carina#07h58 m#°45′#3.8
2535#spiral galaxy#cancer#08h11 m13.6 s#°12′24″#13.0
2536#spiral galaxy#cancer#08h11 m16.1 s#°10′45″#14.5
2537#irregular galaxy#lynx#08h13 m14.6 s#°59′30″#11.7
2541#spiral galaxy#lynx#08h14 m40.4 s#°03′42″#13.0
2546#open cluster#puppis#08h12 m#°37′#6.5
2547#open cluster#vela#08h10 m25.7 s#°10′03″#4.8
2548#open cluster#hydra#08h14 m#°45′#6.1
2549#lenticular galaxy#lynx#08h18 m58.4 s#°48′10″#12.1
2550#spiral galaxy#camelopardalis#08h24 m33.9 s#°00′43″#13.1
2551#spiral galaxy#camelopardalis#08h24 m50.5 s#°24′44″#12.7
2552#irregular galaxy#lynx#08h19 m19.6 s#°00′28″#13.5
