round#pick#overall#name#position#college
1#4#4#leon heath#fb#oklahoma
2#1#15#ed salem#db#alabama
2#6#21#jim staton#dt#wake forest
3#3#29#walt yowarsky#de#kentucky
4#1#40#paul giroski#ot#rice
6#3#65#john martinkovic#de#xavier 
7#2#76#john papit#hb#virginia
8#1#87#bill cox#de#duke
9#3#101#jake rowden#c#maryland
10#1#111#james janosek#t#purdue
11#1#124#bill dechard#rb#holy cross
12#3#138#al applegate#g#scranton 
13#2#149#dick campbell#rb#wyoming
15#3#174#vic thomas#ot#colorado
16#2#185#bob bates#c#texas a&m
17#1#196#gene brito#de#loyola 
18#3#210#dom fucci#db#kentucky
19#2#221#buddy brown#g#arkansas
20#1#232#john kerestes#rb#purdue
21#2#246#clarence marable#ot#texas christian
22#2#257#elliot speed#c#alabama
23#1#268#cecil martin#rb#north texas state 
24#3#282#tom powers#rb#duke
25#2#293#bob chubb#e#shippensburg
26#1#304#johnny williams#db#southern california
27#3#318#bill johnson#rb#stetson
28#2#329#john kadiec#g#missouri
29#1#340#art stewart#rb#southeastern oklahoma
30#3#354#nick bolkovac#dt#pittsburgh
