name#seasons#matches#win %#draw#draw %#lose#lose %
camillo achilli#1#30#36.6667 %#10#33.3333 %#9#30 %
dai astley#1#25#48 %#8#32 %#5#20 %
osvaldo bagnoli#2#74#48.6486 %#24#32.4324 %#14#18.9189 %
rafael benã­tez#1#25#48%#6#24%#7#28%
eugenio bersellini#5#207#44.4444%#80#38.6473%#35#16.9082%
ottavio bianchi#2#48#43.7500 %#12#25 %#15#31.25 %
giuseppe bigogno#1#27#59.2593 %#6#22.2222 %#5#18.5185 %
aldo campatelli#3#53#49.0566%#11#20.7547%#16#30.1887%
giulio cappelli#3#59#59.3220 %#14#23.7288 %#10#16.9492 %
carlo carcano#3#74#41.8919 %#16#21.6216 %#27#36.4865 %
tony cargnelli#2#69#57.9710 %#14#20.2899 %#15#21.7391 %
albino carraro#1#21#61.9048 %#5#23.8095 %#3#14.2857 %
jesse carver#1#40#32.5 %#13#32.5 %#14#35 %
ilario castagner#2#70#52.8571 %#20#28.5714 %#13#18.5714 %
armando castellazzi#2#72#45.8333 %#23#31.9444 %#16#22.2222 %
luciano castellini#2#6#33.3333 %#2#33.3333 %#2#33.3333 %
giuseppe chiappella#2#83#45.7831 %#27#32.5301 %#18#21.6867 %
mario corso#1#30#43.3333 %#7#23.3333 %#10#33.3333 %
hector cuper#3#110#51.8182%#31#28.1818%#22#20%
gyula feldmann#2#59#47.4576 %#20#33.8983 %#11#18.6441 %
giovanni ferrari#1#31#48.3871 %#4#12.9032 %#12#38.7097 %
luigi ferrero#1#23#34.7826 %#11#47.8261 %#4#17.3913 %
ivo fiorentini#1#31#22.5806 %#12#38.7097 %#12#38.7097 %
alfredo foni#4#135#48.8889%#41#30.3704%#28#20.7407%
virgilio fossati#6#110#62.7273%#9#8.1818%#32#29.0909%
annibale frossi#1#23#34.7826 %#11#47.8261 %#4#17.3913 %
gian piero gasperini#1#5#0%#1#20%#4#80%
heriberto herrera#2#56#48.2143 %#15#26.7857 %#14#25 %
helenio herrera#9#366#56.0109%#93#25.4098%#68#18.5792%
roy hodgson#3#89#44.9438 %#26#29.2135 %#23#25.8427 %
giovanni invernizzi#3#100#54%#26#26%#20#20%
leonardo#1#32#68.75%#3#9.38%#7#21.88%
marcello lippi#2#50#50 %#11#22 %#14#28 %
mircea lucescu#1#22#31.8182 %#5#22.7273 %#10#45.4545 %
roberto mancini#4#226#61.9469%#60#26.5487%#26#11.5044%
rino marchesi#1#47#42.5532 %#17#36.1702 %#10#21.2766 %
giampiero marini#1#18#33.3333 %#2#11.1111 %#10#55.5556 %
enea masiero#2#32#46.8750 %#9#28.1250 %#8#25 %
francesco mauro#1#23#73.9130 %#5#21.7391 %#1#4.3478 %
walter mazzarri#0#0#0 %#0#0 %#0#0 %
giuseppe meazza#4#82#45.1220%#15#18.2927%#30#36.5854%
jose mourinho#2#108#62.96%#25#23.15%#15#13.89%
nino nutrizio#1#19#52.6316 %#3#15.7895 %#6#31.5789 %
aldo olivieri#2#76#63.1579 %#13#17.1053 %#15#19.7368 %
corrado orrico#1#23#34.7826 %#11#47.8261 %#4#17.3913 %
giuseppe peruchetti#1#31#45.1613 %#7#22.5806 %#10#32.2581 %
luigi radice#2#41#39.0244 %#13#31.7073 %#12#29.2683 %
claudio ranieri#1#34#47.06 %#5#14.70 %#13#38.24 %
nino resegotti#1#23#73.9130 %#5#21.7391 %#1#4.3478 %
paolo schiedler#2#44#50 %#6#13.6364 %#16#36.3636 %
luigi simoni#2#73#61.6438 %#12#16.4384 %#16#21.9178 %
bob spotishwood#2#47#44.6809 %#11#23.4043 %#15#31.9149 %
andrea stramaccioni#2#65#47.69 %#11#16.92 %#23#35.39 %
luis suã¡rez#3#76#40.7895%#24#31.5789%#21#27.6316%
marco tardelli#1#40#37.5 %#13#32.5 %#12#30 %
istvan toth#1#34#44.1176 %#8#23.5294 %#11#32.3529 %
giovanni trapattoni#5#230#54.7826%#59#25.6522%#45#19.5652%
arpad veisz#6#212#51.8868%#47#22.1698%#55#25.9434%
corrado verdelli#1#1#0 %#0#0 %#1#100 %
joszef viola#1#25#48 %#3#12 %#10#40 %
alberto zaccheroni#1#43#41.8605 %#14#32.5581 %#11#25.5814 %
italo zamberletti#1#31#45.1613 %#7#22.5806 %#10#32.2581 %
