heat#lane#name#nationality#time
7#5#kirsty coventry#zimbabwe#59.00
6#6#reiko nakamura#japan#59.36
5#4#anastasia zuyeva#russia#59.61
7#4#natalie coughlin#united states#59.69
6#5#laure manaudou#france#1:00.09
7#6#gemma spofforth#great britain#1:00.11
6#4#margaret hoelzer#united states#1:00.13
6#3#hanae ito#japan#1:00.16
5#5#emily seebohm#australia#1:00.27
4#3#julia wilkinson#canada#1:00.38
5#8#antje buschschulte#germany#1:00.48
5#2#elizabeth simmonds#great britain#1:00.53
5#6#nina zhivanevskaya#spain#1:00.54
5#3#sophie edington#australia#1:00.65
7#1#elizabeth coster#new zealand#1:00.66
6#1#kseniya moskvina#russia#1:00.70
5#1#xu tianlongzi#china#1:00.82
7#7#fabíola molina#brazil#1:01.00
3#3#carolina colorado#colombia#1:01.19
4#4#melissa ingram#new zealand#1:01.24
5#7#kateryna zubkova#ukraine#1:01.25
6#2#sanja jovanović#croatia#1:01.30
7#2#alexianne castel#france#1:01.44
7#8#nikolett szepesi#hungary#1:01.77
3#2#anna gostomelsky#israel#1:01.87
4#6#romina armellini#italy#1:02.21
4#8#anja čarman#slovenia#1:02.21
4#5#mercedes peris#spain#1:02.30
3#1#sarah sjöström#sweden#1:02.38
4#2#hanna - maria seppälä#finland#1:02.39
4#1#aisling cooney#ireland#1:02.50
3#7#alana dillette#bahamas#1:02.56
1#4#kiera aitken#bermuda#1:02.62
3#4#tsai hiu wai sherry#hong kong#1:02.68
3#5#fernanda gonzález#mexico#1:02.76
2#4#zuzanna mazurek#poland#1:02.77
6#7#iryna amshennikova#ukraine#1:02.85
2#5#gisela morales#guatemala#1:02.92
3#6#petra klosová#czech republic#1:03.36
2#3#marica strazmester#serbia#1:03.56
3#8#sarah blake bateman#iceland#1:03.82
6#8#christin zenner#germany#1:03.87
2#7#erin volcán#venezuela#1:03.90
2#6#kim yu - yeon#south korea#1:04.63
2#2#yekaterina rudenko#kazakhstan#1:04.85
1#5#maria virginia baez#paraguay#1:05.39
1#3#christie bodden#panama#1:07.18
7#3#zhao jing#china#dsq
4#7#sviatlana khakhlova#belarus#dns
