draft#round#pick#player#nationality
1967#1#3#ken hicks#canada
1967#2#12#gary wood#usa
1967#3#18#kevin smith#canada
1968#2#13#doug smith#canada
1968#3#20#jim trewin#canada
1969#1#7#tony featherstone#canada
1969#2#18#ron stackhouse#canada
1969#3#29#don o'donoghue#canada
1969#4#41#pierre farmer#canada
1969#5#53#warren harrison#canada
1969#6#65#neil nicholson#canada
1969#7#76#pete vipond#canada
1970#1#10#chris oddleifson#canada
1970#2#19#pete laframboise#canada
1970#3#33#randy rota#canada
