nat#name#since#goals#ends#transfer fee
sco#allan mcgregor#1998#0#2013#youth system
usa#maurice edu#2008#2#2013#£2.6m
sco#david weir ( captain )#2007 (winter)#5#2010#free
esp#carlos cuéllar#2007#5#2011#£2.37m
por#pedro mendes#2008#4#2011#£3m
bih#saša papac#2006#2#2011#£0.45m
sco#barry ferguson#2005 (winter)#61#2010#£4.5m
alg#brahim hemdani#2005#2#2009#free
sco#kevin thomson#2007 (winter)#3#2011#£2m
sco#kris boyd#2005 (winter)#102#2010#£0.4m
esp#nacho novo#2004#64#2010#£0.45m
sco#charlie adam#2003#18#2012#youth system
sco#lee mcculloch#2007#7#2011#£2.25m
sco#steven naismith#2008#5#2012#£1.9m
sco#alan gow#2007#0#2010#free
sco#graeme smith#2007#0#2010#free
sco#chris burke#2000#14#2009#youth system
sco#kenny miller#2008#24#2011#£2m
fra#jean - claude darcheville#2007#16#2009#free
usa#damarcus beasley#2007#5#2010#£0.7m
sco#kirk broadfoot#2007#1#2010#free
sco#andy webster#2008#1#2011#£0.4m
sco#christian dailly#2008 (winter)#2#2009#free
alg#madjid bougherra#2008#1#2012#£2.5m
sco#neil alexander#2008 (winter)#0#2011#free
sco#steven smith#2002#1#2010#youth system
nir#kyle lafferty#2008#9#2013#£3.25m
sco#steven whittaker#2007#8#2012#£2m
gab#daniel cousin#2007#13#2010#£1.1m
esp#aarón ñíguez#2008#2#2010#loan
nir#steven davis#2008#8#2012#£3m
lit#andrius velička#2008#5#2011#£1m
sco#rory loy#2006#0#2011#£0.025m
sco#john fleck#2007#1#2011#youth system
nir#andrew little#2006#0#2011#youth system
