res#record#opponent#method#event#round#time#location
loss#20 - 10 - 1#alp ozkilic#tko (punches)#legacy fighting championship 20#1#0:30#corpus christi , texas , united states
draw#20 - 9 - 1#rafael de freitas#draw (split)#legacy fighting championship 18#3#5:00#houston , texas , united states
loss#20 - 9#joshua sampo#decision (unanimous)#legacy fighting championships 14#3#5:00#houston , texas , united states
loss#20 - 8#bibiano fernandes#tko (punches)#fight for japan : genki desu ka omisoka 2011#1#1:21#saitama , japan
win#20 - 7#masakazu imanari#decision (split)#fight for japan : genki desu ka omisoka 2011#2#5:00#saitama , japan
win#19 - 7#hideo tokoro#decision (split)#dream 17#3#5:00#saitama , japan
loss#18 - 7#miguel torres#decision (unanimous)#ufc 126#3#5:00#las vegas , nevada , united states
win#18 - 6#chad george#decision (unanimous)#wec 51#3#5:00#broomfield , colorado , united states
loss#17 - 6#scott jorgensen#decision (unanimous)#wec 48#3#5:00#sacramento , california , united states
win#17 - 5#kenji osawa#decision (unanimous)#wec 44#3#5:00#las vegas , nevada , united states
win#16 - 5#scott jorgensen#decision (split)#wec 41#3#5:00#sacramento , california , united states
win#15 - 5#bryan goldsby#ko (punch)#pfc 10: explosive#2#0:59#lemoore , california , united states
loss#14 - 5#manny tapia#decision (split)#wec 32#3#5:00#albuquerque , new mexico , united states
win#14 - 4#justin robbins#decision (unanimous)#wec 29#3#5:00#las vegas , nevada , united states
loss#13 - 4#charlie valencia#ko (punch)#wec 26#1#3:12#las vegas , nevada , united states
win#13 - 3#mike french#decision (unanimous)#wec 25#3#5:00#las vegas , nevada , united states
win#12 - 3#cole escovedo#decision (unanimous)#wec 23#3#5:00#lemoore , california , united states
loss#11 - 3#eddie wineland#ko (head kick and punches)#wec 20#1#2:36#lemoore , california , united states
win#11 - 2#james cottrell#decision (unanimous)#wec 19#3#5:00#lemoore , california , united states
win#10 - 2#kimihito nonaka#tko (punches)#ffcf 5: unleashed#1#1:00#mangilao , guam
win#9 - 2#justin tavernini#decision (unanimous)#ultimate cage wars 3#3#5:00#winnipeg , manitoba , canada
win#8 - 2#ed tomaselli#tko (cut)#wec 17#1#2:25#lemoore , california , united states
win#7 - 2#mike lindquist#submission (rear naked choke)#wec 14#1#1:38#lemoore , california , united states
win#6 - 2#brandon shuey#tko (punches)#sf 6: battleground in reno#1#0:22#reno , nevada , united states
win#5 - 2#yobie song#tko (cut)#rumble on the rock 4#3#2:39#honolulu , hawaii , united states
win#4 - 2#jim kikuchi#decision (unanimous)#rumble on the rock 2#2#5:00#honolulu , hawaii , united states
loss#3 - 2#jeff bedard#submission (guillotine choke)#wec 5#1#0:43#lemoore , california , united states
win#3 - 1#steve hecht#decision (unanimous)#uagf 1: ultimate cage fighting 1#2#5:00#los angeles , california , united states
loss#2 - 1#stephen palling#submission (triangle choke)#warriors quest 2: battle of champions#1#0:38#honolulu , hawaii , united states
win#2 - 0#brian peterson#ko#ifc warriors challenge 14#3#1:51#fresno , california , united states
win#1 - 0#daniel garlets#tko (punches)#ifc warriors challenge 13#1#n / a#oroville , california , united states
