season#league#games#lost#tied#points#winning %#goals for#goals against#standing
1950–51#eahl#54#25#3#55#0.509#195#194#1st , eahl
1951–52#eahl#65#21#5#83#0.638#264#186#1st , eahl
1952–53#eahl#60#29#3#59#0.492#226#244#2nd , eahl
1953–54#ihl#65#27#3#73#0.562#254#221#3rd , ihl
1954–55#ihl#60#34#1#51#0.425#188#215#5th , ihl
1955–56#ehl#64#32#0#64#0.500#312#298#4th , ehl
1956–57#ehl#64#33#0#62#0.484#320#290#4th , ehl
1957–58#ehl#64#30#3#65#0.508#228#225#4th , ehl
1958–59#ehl#64#28#3#69#0.539#252#223#2nd , ehl
1959–60#ehl#64#18#1#91#0.711#255#176#1st , south
1960–61#ehl#64#22#2#82#0.641#273#215#2nd , south
1961–62#ehl#68#26#1#83#0.610#296#255#2nd , north
1962–63#ehl#68#31#3#71#0.522#254#309#3rd , north
1963–64#ehl#72#26#5#87#0.604#297#245#1st , north
1964–65#ehl#72#31#0#82#0.569#330#294#3rd , north
1965–66#ehl#72#31#2#80#0.556#303#267#3rd , north
1966–67#ehl#72#36#2#70#0.486#267#290#3rd , north
1967–68#ehl#72#25#9#85#0.590#386#273#3rd , north
1968–69#ehl#72#23#7#91#0.632#358#230#2nd , north
1969–70#ehl#74#33#14#68#0.459#318#344#3rd , north
1970–71#ehl#74#29#15#75#0.507#273#297#3rd , north
1971–72#ehl#75#28#14#80#0.533#290#269#2nd , north
1972–73#ehl#76#28#12#84#0.553#283#255#2nd , north
1973–74#nahl#74#38#4#68#0.459#265#303#5th , nahl
1974–75#nahl#74#32#4#80#0.541#274#255#4th , nahl
1975–76#nahl#74#25#2#96#0.649#346#257#1st , west
1976–77#nahl#73#49#2#46#0.315#253#334#7th , nahl
