outcome#date#tournament#surface#partner#opponents#score
winner#november 6 , 1982#hong kong#clay#laura du pont#jennifer mundel yvonne vermaak#6 - 2 , 4 - 6 , 7 - 5
runner - up#march 6 , 1983#nashville , tennessee , usa#hard#paula smith#rosalyn fairbank candy reynolds#4 - 6 , 6 - 7
winner#may 1 , 1983#atlanta , georgia , usa#hard#sharon walsh#rosie casals wendy turnbull#6 - 3 , 7 - 6
runner - up#june 13 , 1983#birmingham , england#grass#elise burgin#beverly mould liz smylie#3 - 6 , 4 - 6
runner - up#january 15 , 1984#oakland , california , usa#carpet#rosie casals#martina navratilova pam shriver#2 - 6 , 3 - 6
winner#october 28 , 1984#brighton , england#carpet#paula smith#barbara potter sharon walsh#6 - 7 , 6 - 3 , 7 - 5
runner - up#june 16 , 1985#birmingham , england#grass#elise burgin#terry holladay sharon walsh#4 - 6 , 7 - 5 , 3 - 6
runner - up#april 30 , 1986#phoenix , arizona , usa#hard#linda gates#susan mascarin betsy nagelsen#3 - 6 , 7 - 5 , 4 - 6
winner#july 28 , 1986#berkeley , california , usa#hard#beth herr#amy holton elna reinach#6 - 1 , 6 - 2
winner#august 3 , 1986#san diego , california , usa#hard#beth herr#elise burgin rosalyn fairbank#5 - 7 , 6 - 2 , 6 - 4
runner - up#october 12 , 1986#zurich , switzerland#carpet#lori mcneil#steffi graf gabriela sabatini#6 - 1 , 4 - 6 , 4 - 6
