season#winner#score#runner - up#venue
1986 - 87#linfield (1)#2 - 1#crusaders#the oval , belfast
1987 - 88#coleraine (1)#1 - 0 ( aet )#portadown#the oval , belfast
1988 - 89#glentoran (1)#2 - 1#linfield#the oval , belfast
1989 - 90#glenavon (1)#3 - 1#newry town#windsor park , belfast
1990 - 91#glentoran (2)#2 - 0#ards#windsor park , belfast
1991 - 92#linfield (2)#3 - 0#larne#the oval , belfast
1992 - 93#bangor (1)#3 - 0#coleraine#windsor park , belfast
1993 - 94#linfield (3)#2 - 0#coleraine#the oval , belfast
1994 - 95#ards (1)#0 - 0 (2 - 0 pens )#cliftonville#windsor park , belfast
1995 - 96#portadown (1)#2 - 1#crusaders#windsor park , belfast
1996 - 97#crusaders (1)#1 - 0#glentoran#windsor park , belfast
1997 - 98#linfield (4)#1 - 0#glentoran#windsor park , belfast
1998 - 99#linfield (5)#2 - 1#glentoran#windsor park , belfast
1999 - 00#linfield (6)#4 - 0#coleraine#windsor park , belfast
2000 - 01#glentoran (3)#1 - 0#glenavon#windsor park , belfast
2001 - 02#linfield (7)#3 - 1#glentoran#windsor park , belfast
2002 - 03#glentoran (4)#2 - 0#linfield#windsor park , belfast
2003 - 04#cliftonville (1)#1 - 1 (5 - 4 pens )#larne#windsor park , belfast
2004 - 05#glentoran (5)#2 - 1 ( aet )#linfield#windsor park , belfast
2005 - 06#linfield (8)#3 - 0#glentoran#windsor park , belfast
2006 - 07#glentoran (6)#1 - 0#cliftonville#windsor park , belfast
2007 - 08#linfield (9)#3 - 2#crusaders#windsor park , belfast
2008 - 09#portadown (2)#1 - 0#newry city#mourneview park , lurgan
2009 - 10#glentoran (7)#2 - 2 (4 - 1 pens )#coleraine#windsor park , belfast
2010 - 11#lisburn distillery (1)#2 - 1#portadown#mourneview park , lurgan
2011 - 12#crusaders (2)#1 - 0#coleraine#ballymena showgrounds , ballymena
2012 - 13#cliftonville (2)#4 - 0#crusaders#windsor park , belfast
