township#county#pop. (2010)#land ( sqmi )#water (sqmi)#latitude#longitude#geo id#ansi code
haag#logan#25#35.960#0.000#46.326595#- 99.100267#3804734060#1037182
haaland#wells#46#35.350#0.212#47.450335#- 99.703377#3810334100#1037130
hagel#pierce#87#35.816#0.124#47.883593#- 99.866122#3806934140#1759555
haley#bowman#23#35.974#0.039#45.990252#- 103.052381#3801134260#1037241
hall#sargent#130#36.018#0.041#46.246005#- 97.332225#3808134300#1036799
hamburg#dickey#34#36.177#0.051#46.161733#- 98.694879#3802134500#1036777
hamburg#wells#39#35.248#0.729#47.716658#- 99.479752#3810334540#1759703
hamerly#renville#25#35.858#0.000#48.850276#- 101.693424#3807534580#1759608
hamilton#pembina#42#44.649#0.000#48.771700#- 97.491387#3806734660#1036726
hamlet#renville#50#35.700#0.236#48.756268#- 101.682560#3807534700#1759609
hamlin#nelson#69#34.658#0.113#47.809989#- 98.214925#3806334780#1036564
hammer#ramsey#52#35.155#0.709#48.406612#- 98.905957#3807134820#1759575
hanson#ransom#69#35.959#0.019#46.416419#- 97.955633#3807335180#1036876
haram#bottineau#72#43.546#0.061#48.945466#- 100.632818#3800935220#1759277
harding#ramsey#33#36.455#0.074#48.332508#- 98.735376#3807135300#1759576
hardscrabble#williams#86#50.245#0.010#48.071097#- 103.943279#3810535340#1759727
harlem#sargent#41#35.949#0.127#46.152653#- 97.811391#3808135420#1036808
harmonious#burke#20#35.492#0.540#48.771240#- 102.890519#3801335540#1759322
harmony#cass#81#34.426#0.107#46.941011#- 97.127136#3801735580#1036374
harper#slope#4#35.670#0.060#46.410454#- 103.605754#3808735620#1037169
harriet - lien#burleigh#67#68.948#2.969#47.075347#- 100.187816#3801535670#2397810
harrison#ward#1872#22.461#0.030#48.242550#- 101.359321#3810135700#1759681
harriston#walsh#131#34.354#0.000#48.326310#- 97.317118#3809935740#1036525
harvey#cavalier#32#35.761#0.149#48.841661#- 98.268925#3801935860#1759363
harwood#cass#352#30.978#0.029#47.019896#- 96.880922#3801735980#1036379
hastings#bottineau#47#35.800#0.061#48.770360#- 101.179725#3800936060#1759278
havelock#hettinger#23#35.575#0.009#46.496419#- 102.734681#3804136220#1037230
haven#foster#35#35.288#0.627#47.449995#- 98.830279#3803136260#1759424
hawkeye#divide#33#35.217#0.800#48.854155#- 103.265903#3802336300#1759392
hawkeye#mckenzie#49#33.545#0.015#47.984799#- 102.844447#3805336340#1759520
