player#matches#innings#not out#runs#high score#average#strike rate#100s
craig white#7#7#3#195#69#48.75#49.24#0
jacques rudolph#18#16#2#675#120#48.21#76.70#1
anthony mcgrath#17#15#3#489#105#40.75#78.62#1
ajmal shahzad#2#1#0#33#33#33.00#150.00#0
andrew gale#18#17#1#450#89#28.13#80.94#0
rana naved - ul - hasan#9#8#0#212#74#26.50#113.98#0
gerard brophy#17#15#5#238#61#23.80#90.84#0
chris taylor#2#2#0#45#23#22.50#86.54#0
adil rashid#17#8#3#101#41#20.20#75.37#0
tim bresnan#16#9#2#135#55#19.29#83.85#0
darren gough#17#3#1#38#33#19.00#64.41#0
michael vaughan#2#2#0#38#22#19.00#73.08#0
adam lyth#15#10#1#162#38#18.00#82.65#0
richard pyrah#18#9#4#83#26#16.60#87.37#0
simon guy#1#1#0#6#6#6.00#100.00#0
david wainwright#7#3#3#29#13#n / a#76.32#0
deon kruis#12#1#1#3#3#n / a#75.00#0
matthew hoggard#2#1#1#1#1#n / a#50.00#0
steven patterson#1#0#0#0#0#n / a#n / a#0
total batting#198#128#30#2933#120#29.93#78.78#2
