name v t e#pos#height#weight#club
denis šefik #gk#m ()#kg (lb)#pvk budvanska rivijera
andrija prlainović #d#m ()#kg (lb)#vk partizan
živko gocić #cf#m ()#kg (lb)#olympiacos
vanja udovičić #cb#m ()#kg (lb)#pro recco
dejan savić #cb#m ()#kg (lb)#sintez kazan
duško pijetlović #cf#m ()#kg (lb)#vk partizan
nikola rađen #cb#m ()#kg (lb)#vk partizan
filip filipović #d#m ()#kg (lb)#vk partizan
aleksandar ćirić #d#m ()#kg (lb)#pvk budvanska rivijera
aleksandar šapić #d#m ()#kg (lb)#shturm 2002 chekhov
vladimir vujasinović #cb#m ()#kg (lb)#vk partizan
branko peković #cf#m ()#kg (lb)#dynamo moscow
slobodan soro #gk#m ()#kg (lb)#vk partizan
