no#player#club#test career#tests#catches#stumpings#total dismissals
1#john selby [a ]#nottinghamshire#1877#2#1#0#1
2#leland hone #mcc#1879#1#2#0#2
3#alfred lyttelton #middlesex#1880–84#4#2#0#2
4#dick pilling #lancashire#1881–88#8#10#4#14
5#edmund tylecote #kent#1882–86#6#5#5#10
6#joe hunter #yorkshire#1884–85#5#8#3#11
7#mordecai sherwin #nottinghamshire#1887–88#3#5#2#7
8#henry wood #kent and surrey#1888–92#4#2#1#3
10#punch philipson #middlesex#1892–95#5#8#3#11
11#leslie gay #hampshire and somerset#1894#1#3#1#4
12#harry butt #sussex#1896#3#1#1#2
13#dick lilley #warwickshire#1896–1909#35#70#22#92
14#bill storer #derbyshire#1897–99#6#11#0#11
15#jack board #gloucestershire#1899–1906#6#8#3#11
16#leonard moon [c ]#middlesex#1906#1#1#0#1
17#dick young #sussex#1907–08#2#6#0#6
18#joe humphries #derbyshire#1908#3#7#0#7
19#bert strudwick [d ]#surrey#1910–1926#27#61#12#73
20#neville tufnell #surrey#1910#1#0#1#1
21#tiger smith [e ]#warwickshire#1911–1912#10#16#3#19
22#arthur dolphin #yorkshire#1921#1#1#0#1
23#george brown #hampshire#1921–1923#7#9#3#12
24#george street #sussex#1923#1#0#1#1
25#george wood #kent#1924#3#5#1#6
26#george duckworth #lancashire#1924–1936#24#45#15#60
27#rony stanyforth #yorkshire#1927–1928#4#7#2#9
28#harry elliott #derbyshire#1928–1934#4#8#3#11
29#harry smith #gloucestershire#1928#1#1#0#1
30#les ames [f ]#kent#1929–1939#44#72#23#95
31#tich cornford #sussex#1930#4#5#3#8
32#bill farrimond #lancashire#1931–1935#4#5#2#7
33#hopper levett #kent#1934#1#3#0#3
34#fred price #middlesex#1938#1#2#0#2
35#arthur wood #yorkshire#1938–1939#4#10#1#11
36#paul gibb [g ]#essex and yorkshire#1946#3#3#1#4
37#godfrey evans #kent#1946–1959#91#173#46#219
38#billy griffith [h ]#surrey and sussex#1949#2#5#0#5
39#arthur mcintyre [i ]#surrey#1950–1955#2#7#0#7
40#don brennan #yorkshire#1951#2#0#1#1
41#dick spooner #warwickshire#1951–1955#7#10#2#12
42#keith andrew #northamptonshire#1954–1963#2#1#0#1
43#roy swetman #gloucestershire , nottinghamshire and surrey#1959–1960#11#24#2#26
44#jim parks [j ]#sussex and somerset#1960–1968#43#101#11#112
45#john murray [k ]#middlesex#1961–1967#20#52#3#55
46#geoff millman #nottinghamshire#1961–1962#6#13#2#15
47#alan smith #warwickshire#1962–1963#6#20#0#20
48#jimmy binks #yorkshire#1964#2#8#0#8
49#alan knott #kent#1967–1981#95#250#19#269
50#bob taylor #derbyshire#1971–1984#57#167#7#174
51#david bairstow #yorkshire#1979–1981#4#12#1#13
52#paul downton #kent and middlesex#1981–1988#30#70#5#75
53#bruce french #nottinghamshire#1986–1988#16#38#1#39
54#jack richards #surrey#1986–1988#8#20#1#21
55#jack russell #gloucestershire#1988–1998#54#153#12#165
56#alec stewart [l ]#surrey#1991–2003#82#227#14#241
57#richard blakey #yorkshire#1993#2#2#0#2
58#steve rhodes #worcestershire#1994–1995#11#46#3#49
59#warren hegg #lancashire#1998–1999#2#8#0#8
60#chris read #nottinghamshire#1999–2007#15#48#6#54
61#james foster #essex#2001–2002#7#17#1#18
62#geraint jones #kent#2004–2006#34#128#5#133
63#matt prior #sussex#2007–curr#72#207#13#220
