year#imports (tonnes)#exports (tonnes)#total trade (tonnes)#vessels entering port
2001#244205#1429 , 206#1673 , 454#89
2002#160401#1434 , 123#1594 , 524#86
2003#147778#1813 , 468#1961 , 271#104
2004#156396#2684 , 629#2841 , 066#116
2005#156065#2834 , 170#2990 , 385#120
2006#121794#2538 , 167#2660 , 834#91
2007#92599#3408 , 478#3501 , 877#119
2008#111677#3554 , 323#3666 , 150#129
2009#144368#4024 , 311#4168 , 679#138
2010#130289#3292 , 527#3423 , 165#126
2011#114287#2952 , 654#3069 , 456#105
